HS 1988/92 Product Code,HS 1988/92 Product Description,SITC Revision 4 Product Code,SITC Revision 4 Product Description
293940,Ephedrines and their salts,54144,Ephedrines & their salts
293950,Theophylline and aminophylline and derivatives,54145,Theophylline & aminophylline (theophylline-ethylenediamine) & their derivatives; salts thereof
293960,Alkaloids of rye ergot and their derivatives; s,54146,Alkaloids of rye ergot & their derivatives; salts thereof
293970,Nicotine and its salts,54149,"Other vegetable alkaloids & their salts; derivatives of alkaloids, n.e.s., & their salts"
293990,"Other vegetable alkaloids and their salts, etc;",54149,"Other vegetable alkaloids & their salts; derivatives of alkaloids, n.e.s., & their salts"
294000,"Sugars, pure (excl. glucose, etc); sugar ethers",51692,"Sugars, pure (other than sucrose, lactose, maltose, glucose & fructose); sugar ethers & sugar esters, & their salts (other than products of subgroups 541.4 & 541.5/heading 541.61)"
294110,Penicillins and derivatives with a penicillanic,54131,Penicillins & their derivatives with a penicillanic acid structure; salts thereof
294120,Streptomycins and their derivatives; salts ther,54132,Streptomycins & their derivatives; salts thereof
294130,Tetracyclines and their derivatives; salts ther,54133,Tetracyclines & their derivatives; salts thereof
294140,Chloramphenicol and its derivatives; salts ther,54139,Other antibiotics
294150,Erythromycin and its derivatives; salts thereof,54139,Other antibiotics
294190,"Other antibiotics, nes",54139,Other antibiotics
294200,"Other organic compounds, nes",51699,Other organic compounds
300110,"Glands and other organs, dried",54162,"Glands & other organs for organotherapeutic uses, dried, whether/not powdered; extracts of glands/other organs/of their secretions for organotherapeutic uses; heparin & its salts; other human/animal substances prepared for therapeutic/p"
300120,Extracts of glands or other organs or of their,54162,"Glands & other organs for organotherapeutic uses, dried, whether/not powdered; extracts of glands/other organs/of their secretions for organotherapeutic uses; heparin & its salts; other human/animal substances prepared for therapeutic/p"
300190,"Substances of human or animal origin, for proph",54162,"Glands & other organs for organotherapeutic uses, dried, whether/not powdered; extracts of glands/other organs/of their secretions for organotherapeutic uses; heparin & its salts; other human/animal substances prepared for therapeutic/p"
300210,Antisera and other blood fractions,54163,Antisera & other blood fractions; vaccines
300220,Vaccines for human medicine,54163,Antisera & other blood fractions; vaccines
300231,Vaccines against foot-and-mouth disease,54163,Antisera & other blood fractions; vaccines
300239,Other vaccines for veterinary medicine (excl. f,54163,Antisera & other blood fractions; vaccines
300290,Human and animal blood; microbial cultures; tox,54164,"Human blood; animal blood prepared for therapeutic, prophylactic/diagnostic uses; toxins, cultures of micro-organisms (excluding yeasts) & similar products"
300310,Medicaments of penicillins... or streptomycins.,54211,"Medicaments containing penicillins/derivatives thereof, with a penicillanic acid structure,/streptomycins/their derivatives, not put up in measured doses/in forms/packings for retail sale"
300320,"Medicaments of other antibiotics, not for retai",54212,"Medicaments containing other antibiotics, not put up in measured doses/in forms/packings for retail sale."
300331,"Medicaments of insulin, not for retail sale",54221,"Medicaments containing insulin, not put up in measured doses/in forms/packings for retail sale."
300339,"Medicaments of other hormones, not for retail s",54222,"Medicaments containing other hormones/other products of subgroup 541.5, not put up in measured doses/in forms/packings for retail sale"
300340,Medicaments of alkaloids or derivatives thereof,54231,"Medicaments containing alkaloids, but not hormones, not for retail sale"
300390,"Other medicaments with >=2 constituents, not fo",54291,"Medicaments, n.e.s., not put up in measured doses/in forms/packings for retail."
300410,Medicaments of penicillins... or streptomycins.,54213,"Medicaments containing penicillins/derivatives thereof, with a penicillanic acid structure,/streptomycins/their derivatives, put up in measured doses/in forms/packings for retail sale"
300420,"Medicaments of other antibiotics, for retail sa",54219,"Medicaments containing other antibiotics, put up in measured doses/in forms/packings for retail sale."
300431,"Medicaments of insulin, for retail sale",54223,"Medicaments containing insulin, put up in measured doses/in forms/packings for retail sale"
300432,"Medicaments of adrenal cortical hormones, for r",54224,"Medicaments containing corticosteroid hormones, their derivatives & structural analogues"
300439,"Medicaments of other hormones, for retail sale,",54229,"Medicaments containing other hormones/other products of subgroup 541.5, put up in measured doses/in forms/packings for retail sale"
300440,Medicaments of alkaloids or derivatives thereof,54232,"Medicaments containing alkaloids, but not hormones, for retail sale"
300450,Other medicaments of vitamins or other products,54292,"Medicaments containing vitamins/other products of subgroup 541.1, put up in measured doses/in forms/packings for retail sale"
300490,"Other medicaments of mixed or unmixed products,",54293,"Medicaments, n.e.s., put up in measured doses/in forms/packings for retail sale"
300510,"Adhesive dressings..., for medical... purposes",54191,"Wadding, gauze, bandages & similar articles (e.g., dressings, adhesive plasters, poultices), impregnated/coated with pharmaceutical substances/put up in forms/packings for retail sale for medical, surgical, dental/veterinary purposes, n.e.s."
300590,"Wadding, gauze, etc with pharmaceutical substan",54191,"Wadding, gauze, bandages & similar articles (e.g., dressings, adhesive plasters, poultices), impregnated/coated with pharmaceutical substances/put up in forms/packings for retail sale for medical, surgical, dental/veterinary purposes, n.e.s."
300610,Materials for surgical sutures; laminaria ; abs,54199,Other pharmaceutical goods; waste pharmaceuticals
300620,Blood-grouping reagents,54192,Blood-grouping reagents
300630,Opacifying preparations for X-ray examinations;,54193,Opacifying preparations for X-ray examinations; diagnostic reagents designed to be administered to the patient
300640,Dental cements and other dental fillings; bone,54199,Other pharmaceutical goods; waste pharmaceuticals
300650,First-aid boxes and kits,54199,Other pharmaceutical goods; waste pharmaceuticals
300660,Chemical contraceptive preparations based on ho,54199,Other pharmaceutical goods; waste pharmaceuticals
