HS 2002 Product Code,HS 2002 Product Description,SITC Revision 4 Product Code,SITC Revision 4 Product Description
841311,"Pumps for dispensing fuel or lubricants, of the type used in fillingstations or in garages",74211,"Pumps for dispensing fuel/lubricants, of the type used in filling stations/in garages, fitted/designed to be fitted with a measuring device."
841319,Other,74219,Other pumps fitted/designed to be fitted with a measuring device
841320,"Hand pumps, other than those of subheading 8413.11 or 8413.19",74271,"Pumps for liquids, n.e.s."
841330,"Fuel, lubricating or cooling medium pumps for internal combustion piston engines",7422,"Fuel, lubricating/cooling medium pumps for internal combustion piston engines"
841340,Concrete pumps,7423,Concrete pumps
841350,Other reciprocating positive displacement pumps,7424,"Reciprocating positive displacement pumps, n.e.s."
841360,Other rotary positive displacement pumps,7425,"Rotary positive displacement pumps, n.e.s."
841370,Other centrifugal pumps,7426,"Centrifugal pumps, n.e.s."
841381,Pumps,74271,"Pumps for liquids, n.e.s."
841382,Liquid elevators,74275,Liquid elevators
841391,Of pumps,74291,Parts of the pumps of group 742
841392,Of liquid elevators,74295,Parts of the liquid elevators of heading 742.75
841410,Vacuum pumps,74311,Vacuum pumps
841420,Hand or footoperated air pumps,74313,Hand-/foot-operated air pumps
841430,Compressors of a kind used in refrigerating equipment,74315,Compressors of a kind used in refrigerating equipment
841440,Air compressors mounted on a wheeled chassis for towing,74317,Air compressors mounted on a wheeled chassis for towing
841451,"Table, floor, wall, window, ceiling or roof fans, with a selfcontained electric motor of an output not exceeding 125 W",74341,"Table, floor, wall, window, ceiling/roof fans with self-contained electric motor of an output not > 125 W."
841459,Other,74343,Other fans
841460,Hoods having a maximum horizontal side not exceeding 120 cm,74345,Hoods having a maximum horizontal side not > 120 cm
841480,Other,74319,Other n.e.s. of sub-heading 743.1
841490,Parts,7438,"Parts for the pumps, compressors, fans & hoods of subgroups 743.1 & 743.4"
841510,"Window or wall types, selfcontained or  splitsystem",74151,"Air-conditioning machines comprising a motor-driven fan and elements for changing the temperature & humidity, window/wall-types, self-contained/split-system"
841520,"Of a kind used for persons, in motor vehicles",74155,"Other air-conditioning machines, comprising a motor-driven fan & elements for changing the temperature & humidity"
841581,Incorporating a refrigerating unit and a valve for reversal of  the cooling/heat cycle (reversible heat pumps),74155,"Other air-conditioning machines, comprising a motor-driven fan & elements for changing the temperature & humidity"
841582,"Other, incorporating a refrigerating unit",74155,"Other air-conditioning machines, comprising a motor-driven fan & elements for changing the temperature & humidity"
841583,Not incorporating a refrigerating unit,74155,"Other air-conditioning machines, comprising a motor-driven fan & elements for changing the temperature & humidity"
841590,Parts,74159,Parts for the air-conditioning machines of heading 741.5
841610,Furnace burners for liquid fuel,74121,Furnace burners for liquid fuel
841620,"Other furnace burners, including combination burners",74123,Other furnace burners (including combination burners)
841630,"Mechanical stokers, including their mechanical grates, mechanical ash dischargers and similar appliances",74125,"Mechanical stokers, including their mechanical grates, mechanical ash dischargers & similar appliances"
841690,Parts,74128,Parts for the burners & other articles of subgroup 741.2
