HS 1996 Product Code,HS 1996 Product Description,SITC Revision 1 Product Code,SITC Revision 1 Product Description
010111,Horses :-- Pure-bred breeding animals,0015,"Horses, asses, mules and hinnies"
010119,Horses :-- Other,0015,"Horses, asses, mules and hinnies"
010120,"Asses, mules and hinnies",0015,"Horses, asses, mules and hinnies"
010210,Pure-bred breeding animals,0011,Bovine cattle including buffaloes
010290,Other,0011,Bovine cattle including buffaloes
010310,Pure-bred breeding animals,0013,Swine
010391,Other :-- Weighing less than 50 kg,0013,Swine
010392,Other :-- Weighing 50 kg or more,0013,Swine
010410,Sheep,0012,"Sheep, lambs and goats"
010420,Goats,0012,"Sheep, lambs and goats"
010511,Weighing not more than 185 g :-- Fowls of the species Gallus domesticus,0014,"Poultry ,live"
010512,Weighing not more than 185 g :-- Turkeys,0014,"Poultry ,live"
010519,Weighing not more than 185 g :-- Other,0014,"Poultry ,live"
010592,"Other :-- Fowls of the species Gallus domesticus, weighing not more than 2,000 g",0014,"Poultry ,live"
010593,"Other :-- Fowls of the species Gallus domesticus, weighing more than 2,000 g",0014,"Poultry ,live"
010599,Other,0014,"Poultry ,live"
010600,Other live animals.,9410,"Animals, n.e.s."
020110,Carcasses and half-carcasses,0111,"Meat of bovine animals, fresh, chilled or frozen"
020120,Other cuts with bone in,0111,"Meat of bovine animals, fresh, chilled or frozen"
020130,Boneless,0111,"Meat of bovine animals, fresh, chilled or frozen"
020210,Carcasses and half-carcasses,0111,"Meat of bovine animals, fresh, chilled or frozen"
020220,Other cuts with bone in,0111,"Meat of bovine animals, fresh, chilled or frozen"
020230,Boneless,0111,"Meat of bovine animals, fresh, chilled or frozen"
020311,Fresh or chilled :-- Carcasses and half-carcasses,0113,"Meat of swine, fresh, chilled or frozen"
020312,"Fresh or chilled :-- Hams, shoulders and cuts thereof, with bone in",0113,"Meat of swine, fresh, chilled or frozen"
020319,Fresh or chilled :-- Other,0113,"Meat of swine, fresh, chilled or frozen"
020321,Frozen :-- Carcasses and half-carcasses,0113,"Meat of swine, fresh, chilled or frozen"
020322,"Frozen :-- Hams, shoulders and cuts thereof, with bone in",0113,"Meat of swine, fresh, chilled or frozen"
020329,Frozen :-- Other,0113,"Meat of swine, fresh, chilled or frozen"
020410,"Carcasses and half-carcasses of lamb, fresh or chilled",0112,"Meat of sheep & goats, fresh, chilled or frozen"
020421,"Other meat of sheep, fresh or chilled :-- Carcasses and half-carcasses",0112,"Meat of sheep & goats, fresh, chilled or frozen"
020422,"Other meat of sheep, fresh or chilled :-- Other cuts with bone in",0112,"Meat of sheep & goats, fresh, chilled or frozen"
020423,"Other meat of sheep, fresh or chilled :-- Boneless",0112,"Meat of sheep & goats, fresh, chilled or frozen"
020430,"Other meat of sheep, fresh or chilled :- Carcasses and half-carcasses of lamb, frozen",0112,"Meat of sheep & goats, fresh, chilled or frozen"
020441,"Other meat of sheep, frozen :-- Carcasses and half-carcasses",0112,"Meat of sheep & goats, fresh, chilled or frozen"
020442,"Other meat of sheep, frozen :-- Other cuts with bone in",0112,"Meat of sheep & goats, fresh, chilled or frozen"
020443,"Other meat of sheep, frozen :-- Boneless",0112,"Meat of sheep & goats, fresh, chilled or frozen"
020450,Meat of goats,0112,"Meat of sheep & goats, fresh, chilled or frozen"
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",0115,"Meat of horses, asses, mules & hinnies, fr.ch.fro."
020610,"Of bovine animals, fresh or chilled",0116,"Edible offals of animals, fresh, chilled, frozen"
020621,"Of bovine animals, frozen :-- Tongues",0116,"Edible offals of animals, fresh, chilled, frozen"
020622,"Of bovine animals, frozen :-- Livers",0116,"Edible offals of animals, fresh, chilled, frozen"
020629,"Of bovine animals, frozen :-- Other",0116,"Edible offals of animals, fresh, chilled, frozen"
020630,"Of swine, fresh or chilled",0116,"Edible offals of animals, fresh, chilled, frozen"
020641,"Of swine, frozen :-- Livers",0116,"Edible offals of animals, fresh, chilled, frozen"
020649,"Of swine, frozen :-- Other",0116,"Edible offals of animals, fresh, chilled, frozen"
020680,"Other, fresh or chilled",0116,"Edible offals of animals, fresh, chilled, frozen"
020690,"Other, frozen",0116,"Edible offals of animals, fresh, chilled, frozen"
