HS 1996 Product Code,HS 1996 Product Description,SITC Revision 3 Product Code,SITC Revision 3 Product Description
010111,Horses :-- Pure-bred breeding animals,00151,Horses
010119,Horses :-- Other,00151,Horses
010120,"Asses, mules and hinnies",00152,"Asses/mules/hinnies,live"
010210,Pure-bred breeding animals,00111,"Bovine animals, breeding"
010290,Other,00119,"Bovine animals, other"
010310,Pure-bred breeding animals,00131,"Swine, live for breeding"
010391,Other :-- Weighing less than 50 kg,00139,"Swine, live, other"
010392,Other :-- Weighing 50 kg or more,00139,"Swine, live, other"
010410,Sheep,00121,"Sheep,live"
010420,Goats,00122,"Goats,live"
010511,Weighing not more than 185 g :-- Fowls of the species Gallus domesticus,00141,"Poultry,live,max 185 gm"
010512,Weighing not more than 185 g :-- Turkeys,00141,"Poultry,live,max 185 gm"
010519,Weighing not more than 185 g :-- Other,00141,"Poultry,live,max 185 gm"
010592,"Other :-- Fowls of the species Gallus domesticus, weighing not more than 2,000 g",00149,"Poultry live,over 185 gm"
010593,"Other :-- Fowls of the species Gallus domesticus, weighing more than 2,000 g",00149,"Poultry live,over 185 gm"
010599,Other,00149,"Poultry live,over 185 gm"
010600,Other live animals.,0019,Live animals n.e.s.
020110,Carcasses and half-carcasses,01111,"Beef fresh/chld,bone in"
020120,Other cuts with bone in,01111,"Beef fresh/chld,bone in"
020130,Boneless,01112,Beef fresh/chld boneless
020210,Carcasses and half-carcasses,01121,"Beef, frozen, bone in"
020220,Other cuts with bone in,01121,"Beef, frozen, bone in"
020230,Boneless,01122,"Beef, frozen, boneless"
020311,Fresh or chilled :-- Carcasses and half-carcasses,01221,Pork fresh/chilled
020312,"Fresh or chilled :-- Hams, shoulders and cuts thereof, with bone in",01221,Pork fresh/chilled
020319,Fresh or chilled :-- Other,01221,Pork fresh/chilled
020321,Frozen :-- Carcasses and half-carcasses,01222,Pork frozen
020322,"Frozen :-- Hams, shoulders and cuts thereof, with bone in",01222,Pork frozen
020329,Frozen :-- Other,01222,Pork frozen
020410,"Carcasses and half-carcasses of lamb, fresh or chilled",01211,Mutton fresh/chilled
020421,"Other meat of sheep, fresh or chilled :-- Carcasses and half-carcasses",01211,Mutton fresh/chilled
020422,"Other meat of sheep, fresh or chilled :-- Other cuts with bone in",01211,Mutton fresh/chilled
020423,"Other meat of sheep, fresh or chilled :-- Boneless",01211,Mutton fresh/chilled
020430,"Other meat of sheep, fresh or chilled :- Carcasses and half-carcasses of lamb, frozen",01212,Mutton frozen
020441,"Other meat of sheep, frozen :-- Carcasses and half-carcasses",01212,Mutton frozen
020442,"Other meat of sheep, frozen :-- Other cuts with bone in",01212,Mutton frozen
020443,"Other meat of sheep, frozen :-- Boneless",01212,Mutton frozen
020450,Meat of goats,01213,"Goat meat,fresh/chld/frz"
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",0124,"Meat,equine,frsh/chl/frz"
020610,"Of bovine animals, fresh or chilled",01251,"Beef offal,fresh/chilled"
020621,"Of bovine animals, frozen :-- Tongues",01252,"Beef offal, frozen"
020622,"Of bovine animals, frozen :-- Livers",01252,"Beef offal, frozen"
020629,"Of bovine animals, frozen :-- Other",01252,"Beef offal, frozen"
020630,"Of swine, fresh or chilled",01253,"Swine offal,fresh/chilld"
020641,"Of swine, frozen :-- Livers",01254,"Swine offal, frozen"
020649,"Of swine, frozen :-- Other",01254,"Swine offal, frozen"
020680,"Other, fresh or chilled",01255,"Offal,sheep etc fresh/ch"
020690,"Other, frozen",01256,"Offal,sheep etc frozen"
020711,"Of fowls of the species Gallus domesticus :-- Not cut in pieces, fresh or chilled",01231,Poultry(whole)frsh/chld
020712,"Of fowls of the species Gallus domesticus :-- Not cut in pieces, frozen",01232,Poultry(whole) frozen
020713,"Of fowls of the species Gallus domesticus :-- Cuts and offal, fresh or chilled",01234,Poultry cuts fresh/chlld
020714,"Of fowls of the species Gallus domesticus :-- Cuts and offal, frozen",01235,"Poultry cuts, frozen"
020724,"Of turkeys :-- Not cut in pieces, fresh or chilled",01231,Poultry(whole)frsh/chld
020725,"Of turkeys :-- Not cut in pieces, frozen",01232,Poultry(whole) frozen
020726,"Of turkeys :-- Cuts and offal, fresh or chilled",01234,Poultry cuts fresh/chlld
020727,"Of turkeys :-- Cuts and offal, frozen",01235,"Poultry cuts, frozen"
020732,"Of ducks, geese or guinea fowls :-- Not cut in pieces, fresh or chilled",01231,Poultry(whole)frsh/chld
020733,"Of ducks, geese or guinea fowls :-- Not cut in pieces, frozen",01232,Poultry(whole) frozen
020734,"Of ducks, geese or guinea fowls :-- Fatty livers, fresh or chilled",01233,"Liver,goose/duck frsh/ch"
020735,"Of ducks, geese or guinea fowls :-- Other, fresh or chilled",01234,Poultry cuts fresh/chlld
020736,"Of ducks, geese or guinea fowls :-- Other, frozen",01235,"Poultry cuts, frozen"
020810,Of rabbits or hares,01291,"Meat/offal,rabbit/hare"
020820,Frogs'legs,01292,Frogs legs
020890,Other,01299,Other meat nes fr/ch/frz
020900,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked.",41131,"Pig,poultry fat unrendrd"
021011,"Meat of swine :-- Hams, shoulders and cuts thereof, with bone in",01611,Ham/shoulder/cuts w bone
021012,Meat of swine :-- Bellies (streaky) and cuts thereof,01612,Pork bellies/streaky
021019,Meat of swine :-- Other,01619,"Meat,swine,cured nes"
021020,Meat of bovine animals,01681,Beef etc salted/smkd/dry
021090,"Other, including edible flours and meals of meat or meat offal",01689,Meat/offal cured nes etc
030110,Ornamental fish,03411,"Fish, live"
030191,"Other live fish :-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",03411,"Fish, live"
030192,Other live fish :-- Eels (Anguilla spp.),03411,"Fish, live"
030193,Other live fish :-- Carp,03411,"Fish, live"
030199,Other live fish :-- Other,03411,"Fish, live"
