HS - Combined  Product Code,HS - Combined  Product Description,SITC Revision 3 Product Code,SITC Revision 3 Product Description
391110,"Petroleum resins, coumarone, indene or coumaroneindene resins and polyterpenes",57596,Petroleum resins etc.
391190,Other,57596,Petroleum resins etc.
391211,Nonplasticised,57551,Cellulose acetate non-pl
391212,Plasticised,57552,Cellulose acetate plasd
391220,Cellulose nitrates (including collodions),57553,Cellulose nitrates
391231,Carboxymethylcellulose and its salts,57554,Cellulose ethers
391239,Other,57554,Cellulose ethers
391290,Other,57559,Cellulose/derivs nes
391310,"Alginic acid, its salts and esters",57594,"Alginic acid,salts,ester"
391390,Other,57595,Natural polymers/derivs
391400,"Ionexchangers based on polymers of headings 39.01 to 39.13, in primary forms.",57597,Ion exch polymers
391510,Of polymers of ethylene,5791,Polyethylene wast/scrap
391520,Of polymers of styrene,5792,Polystyrene waste/scrap
391530,Of polymers of vinyl chloride,5793,Polyvinyl chloride wast
391590,Of other plastics,5799,Plastic waste/scrap nes
391610,Of polymers of ethylene,5831,Ethlene polymer rods etc
391620,Of polymers of vinyl chloride,5832,Vinyl chloride rods etc
391690,Of other plastics,5839,Oth plastic rods/sticks
391710,Artificial guts (sausage casings) of hardened protein or of cellulosic materials,5811,Plastic sausage casings
391721,Of polymers of ethylene,5812,Rigid plastic pipes etc
391722,Of polymers of propylene,5812,Rigid plastic pipes etc
391723,Of polymers of vinyl chloride,5812,Rigid plastic pipes etc
391729,Of other plastics,5812,Rigid plastic pipes etc
391731,"Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa",5813,Reinforced plastic pipes
391732,"Other, not reinforced or otherwise combined with other materials, without fittings",5814,Oth plast pipe w/o fitg
391733,"Other, not reinforced or otherwise combined with other materials, with fittings",5815,Oth plast pipe with fitg
391739,Other,5816,Plastic tubes etc nes
391740,Fittings,5817,Fittings - plastic tubes
391810,Of polymers of vinyl chloride,89331,Plastic lino/tiles/etc
391890,Of other plastics,89331,Plastic lino/tiles/etc
391910,In rolls of a width not exceeding 20 cm,58211,Adhes plast film <20cm
391990,Other,58219,Othr adhes plastic film
392010,Of polymers of ethylene,58221,Ethylene polym film etc
392020,Of polymers of propylene,58222,Propylene polym film etc
392030,Of polymers of styrene,58223,Styrene polym film etc
392041,(-2001) Of polymers of vinyl chloride :-- Rigid,58224,Vinyl chloride film etc
392042,(-2001) Of polymers of vinyl chloride :-- Flexible,58224,Vinyl chloride film etc
392043,(2002-) Containing by weight not less than 6 % of plasticisers,58224,Vinyl chloride film etc
392049,(2002-) Other,58224,Vinyl chloride film etc
392051,Of poly(methyl methacrylate),58225,Acrylic polymer film etc
392059,Other,58225,Acrylic polymer film etc
392061,Of polycarbonates,58226,Polycarb/etc film etc
392062,Of poly(ethylene terephthalate),58226,Polycarb/etc film etc
392063,Of unsaturated polyesters,58226,Polycarb/etc film etc
392069,Of other polyesters,58226,Polycarb/etc film etc
392071,Of regenerated cellulose,58228,Cellulose etc film etc
392072,(-2006) Of vulcanised fibre,58227,Vulcanized rubber film
392073,Of cellulose acetate,58228,Cellulose etc film etc
392079,Of other cellulose derivatives,58228,Cellulose etc film etc
392091,Of poly(vinyl butyral),58229,Oth plastic film etc
392092,Of polyamides,58229,Oth plastic film etc
392093,Of aminoresins,58229,Oth plastic film etc
392094,Of phenolic resins,58229,Oth plastic film etc
392099,Of other plastics,58229,Oth plastic film etc
392111,Of polymers of styrene,58291,Cellular plastic sheet
392112,Of polymers of vinyl chloride,58291,Cellular plastic sheet
392113,Of polyurethanes,58291,Cellular plastic sheet
392114,Of regenerated cellulose,58291,Cellular plastic sheet
392119,Of other plastics,58291,Cellular plastic sheet
392190,Other,58299,Non-cellular plast sheet
392210,"Baths, showerbaths, sinks and washbasins",89321,Plstic bathroom fixtures
392220,Lavatory seats and covers,89321,Plstic bathroom fixtures
392290,Other,89321,Plstic bathroom fixtures
392310,"Boxes, cases, crates and similar articles",89319,Plstc packg contnrs/lids
392321,Of polymers of ethylene,89311,Plastic sacks/bags/cones
392329,Of other plastics,89311,Plastic sacks/bags/cones
392330,"Carboys, bottles, flasks and similar articles",89319,Plstc packg contnrs/lids
392340,"Spools, cops, bobbins and similar supports",89319,Plstc packg contnrs/lids
392350,"Stoppers, lids, caps and other closures",89319,Plstc packg contnrs/lids
392390,Other,89319,Plstc packg contnrs/lids
392410,Tableware and kitchenware,89332,Plstc table/kitch/..arts
392490,Other,89332,Plstc table/kitch/..arts
392510,"Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l",89329,Plastic builder ware nes
392520,"Doors, windows and their frames and thresholds for doors",89329,Plastic builder ware nes
392530,"Shutters, blinds (including Venetian blinds) and similar articles and parts thereof",89329,Plastic builder ware nes
392590,Other,89329,Plastic builder ware nes
392610,Office or school supplies,89394,"Plastc office,school equ"
392620,"Articles of apparel and clothing accessories (including gloves, mittens and mitts)",84821,Plastic clothing/access
392630,"Fittings for furniture, coachwork or the like",89395,Plastc furniture fittngs
392640,Statuettes and other ornamental articles,89399,Othr plastc articles nes
392690,Other,89399,Othr plastc articles nes
400110,"Natural rubber latex, whether or not prevulcanised",2311,Natural rubber latex
400121,Smoked sheets,23121,Natural rubber - smoked
400122,Technically specified natural rubber (TSNR),23125,Tech spec natural rubber
400129,Other,23129,Natural rubber nes
400130,"Balata, gutta-percha, guayule, chicle and similar natural gums",2313,Balata/gutta percha/etc
400211,Latex,23211,Synthetic rubber sbr/xsbr
400219,Other,23211,Synthetic rubber sbr/xsbr
