HS 1988/92 Product Code,HS 1988/92 Product Description,SITC Revision 1 Product Code,SITC Revision 1 Product Description
370293,"Film, in rolls, width >16mm but =<35mm and leng",86242,"Films in rolls, sensitized, unexposed"
370294,"Film, in rolls, width >16mm but =<35mm and leng",86242,"Films in rolls, sensitized, unexposed"
370295,"Film, in rolls, width >35mm (excl. colour)",86242,"Films in rolls, sensitized, unexposed"
370310,"Photographic paper, paperboard and textilles, i",86243,"Paper, paperboard, cloth, sensitized, not developed"
370320,"Photographic paper, paperboard and textilles fo",86243,"Paper, paperboard, cloth, sensitized, not developed"
370390,"Photographic paper, paperboard and textilles, n",86243,"Paper, paperboard, cloth, sensitized, not developed"
370400,"Photographic plates, film, paper..., exposed bu",86243,"Paper, paperboard, cloth, sensitized, not developed"
370510,"Photographic plates..., exposed and developed,",86245,"Plates, film, not cinematogr., exposed & developed"
370520,"Microfilms, exposed and developed",86245,"Plates, film, not cinematogr., exposed & developed"
370590,"Photographic plates..., exposed and developed,",86245,"Plates, film, not cinematogr., exposed & developed"
370610,"Cinematographic film, exposed and developed, wi",86301,"Sound track, developed"
370690,"Cinematographic film, exposed and developed, wi",86301,"Sound track, developed"
370710,Sensitising emulsions for photographic uses,8623,"Chemical prods for photography, for retail sale"
370790,"Chemical preparations for photograpic use, nes",8623,"Chemical prods for photography, for retail sale"
380110,Artificial graphite,59972,Artificial & colloidal graphite
380120,Colloidal graphite or semi-colloidal graphite,59972,Artificial & colloidal graphite
380130,Carbonaceous pastes for electrodes and pastes f,59972,Artificial & colloidal graphite
