HS 1988/92 Product Code,HS 1988/92 Product Description,SITC Revision 1 Product Code,SITC Revision 1 Product Description
293211,Tetrahydrofuran,51285,Heterocyclic compounds (incl. nucleic acids)
293212,2-Furaldehyde (furfuraldehyde),51285,Heterocyclic compounds (incl. nucleic acids)
293213,Furfuryl alcohol and tetrahydrofurfuryl alcohol,51285,Heterocyclic compounds (incl. nucleic acids)
293219,Compounds containing an unfused furan ring in t,51285,Heterocyclic compounds (incl. nucleic acids)
293221,"Coumarin, methylcoumarins and ethylcoumarins",51285,Heterocyclic compounds (incl. nucleic acids)
293229,"Lactones, nes",51285,Heterocyclic compounds (incl. nucleic acids)
293290,Heterocyclic compounds with oxygen hetero-atom(,51285,Heterocyclic compounds (incl. nucleic acids)
293311,Phenazone (antipyrin) and its derivatives,51285,Heterocyclic compounds (incl. nucleic acids)
293319,Compounds containing an unfused pyrazole ring i,51285,Heterocyclic compounds (incl. nucleic acids)
293321,Hydantoin and its derivatives,51274,Amide function compounds
293329,Compounds containing an unfused imidazole ring,51285,Heterocyclic compounds (incl. nucleic acids)
293331,Pyridine and its salts,51285,Heterocyclic compounds (incl. nucleic acids)
293339,Compounds containing an unfused pyridine ring i,51285,Heterocyclic compounds (incl. nucleic acids)
293340,Compounds with quinoline or isoquinoline ring-s,51285,Heterocyclic compounds (incl. nucleic acids)
293351,Malonylurea (barbituric acid) and its derivativ,51275,Imide and imine function compounds
293359,Compounds with pyrimidine or piperazine ring; n,51275,Imide and imine function compounds
293361,Melamine,51275,Imide and imine function compounds
293369,Compounds containing an unfused triazine ring i,51275,Imide and imine function compounds
293371,6-Hexanelactam (epsilon-caprolactam),51285,Heterocyclic compounds (incl. nucleic acids)
293379,Lactams (excl. epsilon-caprolactam),51285,Heterocyclic compounds (incl. nucleic acids)
293390,Heterocyclic compounds with nitrogen hetero-ato,51275,Imide and imine function compounds
293410,Compounds containing an unfused thiazole ring i,51285,Heterocyclic compounds (incl. nucleic acids)
293420,Compounds containing a benzothiazole ring-syste,51285,Heterocyclic compounds (incl. nucleic acids)
293430,Compounds containing a phenothiazine ring-syste,51285,Heterocyclic compounds (incl. nucleic acids)
293490,"Other heterocyclic compounds, nes",51285,Heterocyclic compounds (incl. nucleic acids)
293500,Sulphonamides,51286,Sulphonamides
293610,"Provitamins, unmixed",5411,Vitamins and provitamins
293621,"Vitamins A and their derivatives, unmixed",5411,Vitamins and provitamins
293622,"Vitamin B1 and its derivatives, unmixed",5411,Vitamins and provitamins
293623,"Vitamin B2 and its derivatives, unmixed",5411,Vitamins and provitamins
293624,D- or DL- Pantothenic acid (Vitamin B3 or B5) a,5411,Vitamins and provitamins
293625,"Vitamin B6 and its derivatives, unmixed",5411,Vitamins and provitamins
293626,"Vitamin B12 and its derivatives, unmixed",5411,Vitamins and provitamins
293627,"Vitamin C and its derivatives, unmixed",5411,Vitamins and provitamins
293628,"Vitamin E and its derivatives, unmixed",5411,Vitamins and provitamins
293629,"Other vitamins and their derivatives, unmixed,",5411,Vitamins and provitamins
293690,"Other vitamines (incl. natural concentrates), n",5411,Vitamins and provitamins
293710,"Pituitary (anterior) or similar hormones, and t",5415,Hormones
293721,"Cortisone, hydrocortisone... and predisolone (d",5415,Hormones
293722,Halogenated derivatives of adrenal cortical hor,5415,Hormones
293729,Adrenal cortical hormones and their derivatives,5415,Hormones
293791,Insulin and its salts,5415,Hormones
293792,Oestrogens and progestogens,5415,Hormones
293799,"Other hormones and derivatives, nes; other ster",5415,Hormones
293810,Rutoside (rutin) and its derivatives,54161,Glycosides and their derivatives
293890,"Glycosides and their salts, ethers, esters and",54161,Glycosides and their derivatives
293910,Alkaloids of opium and their derivatives; salts,5414,"Alkaloids of opium, cocaine, caffeine, quinine etc."
293921,Quinine and its salts,5414,"Alkaloids of opium, cocaine, caffeine, quinine etc."
293929,Other alkaloids of cinchona and their derivativ,5414,"Alkaloids of opium, cocaine, caffeine, quinine etc."
293930,Caffeine and its salts,5414,"Alkaloids of opium, cocaine, caffeine, quinine etc."
293940,Ephedrines and their salts,5414,"Alkaloids of opium, cocaine, caffeine, quinine etc."
293950,Theophylline and aminophylline and derivatives,5414,"Alkaloids of opium, cocaine, caffeine, quinine etc."
293960,Alkaloids of rye ergot and their derivatives; s,5414,"Alkaloids of opium, cocaine, caffeine, quinine etc."
293970,Nicotine and its salts,5414,"Alkaloids of opium, cocaine, caffeine, quinine etc."
293990,"Other vegetable alkaloids and their salts, etc;",5414,"Alkaloids of opium, cocaine, caffeine, quinine etc."
294000,"Sugars, pure (excl. glucose, etc); sugar ethers",51292,"Sugars, chem. pure excl. sucrose glucose lactose"
294110,Penicillins and derivatives with a penicillanic,5413,Penicillin streptom. Tyrocidine & oth. Antibiot
294120,Streptomycins and their derivatives; salts ther,5413,Penicillin streptom. Tyrocidine & oth. Antibiot
294130,Tetracyclines and their derivatives; salts ther,5413,Penicillin streptom. Tyrocidine & oth. Antibiot
294140,Chloramphenicol and its derivatives; salts ther,5413,Penicillin streptom. Tyrocidine & oth. Antibiot
294150,Erythromycin and its derivatives; salts thereof,5413,Penicillin streptom. Tyrocidine & oth. Antibiot
294190,"Other antibiotics, nes",5413,Penicillin streptom. Tyrocidine & oth. Antibiot
294200,"Other organic compounds, nes",51299,Other organic compounds
300110,"Glands and other organs, dried",54162,Organo therapeutic glands/organs & extracts
300120,Extracts of glands or other organs or of their,54162,Organo therapeutic glands/organs & extracts
300190,"Substances of human or animal origin, for proph",54162,Organo therapeutic glands/organs & extracts
300210,Antisera and other blood fractions,54163,"Bacterial products, sera, vaccines"
300220,Vaccines for human medicine,54163,"Bacterial products, sera, vaccines"
300231,Vaccines against foot-and-mouth disease,54163,"Bacterial products, sera, vaccines"
300239,Other vaccines for veterinary medicine (excl. f,54163,"Bacterial products, sera, vaccines"
300290,Human and animal blood; microbial cultures; tox,54162,Organo therapeutic glands/organs & extracts
300310,Medicaments of penicillins... or streptomycins.,5417,Medicaments
300320,"Medicaments of other antibiotics, not for retai",5417,Medicaments
300331,"Medicaments of insulin, not for retail sale",5417,Medicaments
300339,"Medicaments of other hormones, not for retail s",5417,Medicaments
300340,Medicaments of alkaloids or derivatives thereof,5417,Medicaments
300390,"Other medicaments with >=2 constituents, not fo",5417,Medicaments
300410,Medicaments of penicillins... or streptomycins.,5417,Medicaments
300420,"Medicaments of other antibiotics, for retail sa",5417,Medicaments
300431,"Medicaments of insulin, for retail sale",5417,Medicaments
