HS 2007 Product Code,HS 2007 Product Description,SITC Revision 4 Product Code,SITC Revision 4 Product Description
010110,Live horses/asses/mules/hinnies: pure-bred breeding animals,0015,"Horses, asses, mules & hinnies, live"
010190,Live horses/asses/mules/hinnies other than pure-bred breeding animals,0015,"Horses, asses, mules & hinnies, live"
010210,Live bovine animals: pure-bred breeding animals,00111,"Pure-bred bovine breeding animals, live"
010290,Live bovine animals other than pure-bred breeding animals,00119,"Bovine animals, live, other than pure-bred breeding stock"
010310,Live swine: pure-bred breeding animals,00131,"Swine, pure-bred breeding animals"
010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",00139,"Swine, live, other than pure-bred breeding animals"
010392,"Live swine other than pure-bred breeding animals, weighing 50kg/more",00139,"Swine, live, other than pure-bred breeding animals"
010410,Live sheep,00121,"Sheep, live"
010420,Live goats,00122,"Goats, live"
010511,"Live fowls of species Gallus domesticus, weighing not >185g",00141,"Poultry, live weight < 185 grams"
010512,"Live turkeys, weighing not >185g",00141,"Poultry, live weight < 185 grams"
010519,"Live ducks/geese/guinea fowls, weighing not >185g",00141,"Poultry, live weight < 185 grams"
010594,"Live fowls of species Gallus domesticus, weighing > 185g",00149,"Poultry, live weight > 185 grams"
010599,"Live ducks/geese/turkeys/guinea fowls, weighing >185g",00149,"Poultry, live weight > 185 grams"
010611,Live primates,0019,"Live animals, n.e.s."
010612,Live whales/dolphins & porpoises (order Cetacea)/manatees & dugongs (order Sirenia),0019,"Live animals, n.e.s."
010619,"Live mammals, n.e.s.",0019,"Live animals, n.e.s."
010620,"Live reptiles, incl. snakes & turtles",0019,"Live animals, n.e.s."
010631,Live birds of prey,0019,"Live animals, n.e.s."
010632,"Live birds (order Psittaciformes), incl. parrots/parakeets/macaws/cockatoos",0019,"Live animals, n.e.s."
010639,Live birds (excl. of 0106.31 & 0106.32),0019,"Live animals, n.e.s."
010690,"Live animals, n.e.s.",0019,"Live animals, n.e.s."
020110,"Carcasses/half-carcasses of bovine animals, fresh/chilled",01111,"Meat of bovine animals, fresh/chilled, with bone in"
020120,"Meat of bovine animals, fresh/chilled (excl. of 0201.10), bone-in",01111,"Meat of bovine animals, fresh/chilled, with bone in"
020130,"Meat of bovine animals, fresh/chilled, boneless",01112,"Meat of bovine animals, fresh/chilled, boneless"
020210,"Carcasses/half-carcasses of bovine animals, frozen",01121,"Meat of bovine animals, frozen, with bone in"
020220,"Meat of bovine animals, frozen (excl. of 0202.10), bone-in",01121,"Meat of bovine animals, frozen, with bone in"
020230,"Meat of bovine animals, frozen, boneless",01122,"Meat of bovine animals, frozen, boneless"
020311,"Carcasses/half-carcasses of swine, fresh/chilled",01221,"Meat of swine, fresh/chilled"
020312,"Hams, shoulders & cuts thereof , fresh/chilled, bone-in",01221,"Meat of swine, fresh/chilled"
020319,"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), fresh/chilled",01221,"Meat of swine, fresh/chilled"
020321,"Carcasses/half-carcasses of swine, frozen",01222,"Meat of swine, frozen"
020322,"Hams, shoulders & cuts thereof , frozen, bone-in",01222,"Meat of swine, frozen"
020329,"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ), froxen",01222,"Meat of swine, frozen"
020410,"Carcasses/half-carcasses of lamb, fresh/chilled",01211,"Meat of sheep, fresh/chilled"
020421,"Carcasses/half-carcasses of sheep (excl. lamb), fresh/chilled",01211,"Meat of sheep, fresh/chilled"
020422,"Meat of sheep (excl. lamb & carcasses), fresh/chilled, bone-in",01211,"Meat of sheep, fresh/chilled"
020423,"Meat of sheep (excl. lamb), fresh/chilled, boneless",01211,"Meat of sheep, fresh/chilled"
020430,"Carcasses/half-carcasses of lamb, frozen",01212,"Meat of sheep, frozen"
020441,"Carcasses/half-carcasses of sheep (excl. lamb), frozen",01212,"Meat of sheep, frozen"
020442,"Meat of sheep (excl. lamb & carcasses), frozen, bone-in",01212,"Meat of sheep, frozen"
020443,"Meat of sheep (excl. lamb), frozen, boneless",01212,"Meat of sheep, frozen"
020450,"Meat of goats, fresh/chilled/frozen",01213,"Meat of goats, fresh, chilled/frozen"
020500,"Meat of horses/asses/mules/hinnies, fresh/chilled/frozen",0124,"Meat of horses, asses, mules/hinnies, fresh, chilled/frozen"
020610,"Edible offal of bovine animals, fresh/chilled",01251,"Edible offal of bovine animals, fresh/chilled"
020621,"Tongues of bovine animals, frozen",01252,"Edible offal of bovine animals, frozen"
020622,"Livers of bovine animals, frozen",01252,"Edible offal of bovine animals, frozen"
020629,"Edible offal of bovine animals (excl. tongues & livers), frozen",01252,"Edible offal of bovine animals, frozen"
020630,"Edible offal of swine, fresh/chilled",01253,"Edible offal of swine, fresh/chilled"
020641,"Livers of swine, frozen",01254,"Edible offal of swine, frozen"
020649,"Edible offal of swine (excl. liver), frozen",01254,"Edible offal of swine, frozen"
020680,"Edible offal, n.e.s., fresh/chilled",01255,"Edible offal of sheep, goats, horses, asses, mules/hinnies, fresh/chilled"
020690,"Edible offal, n.e.s., frozen",01256,"Edible offal of sheep, goats, horses, asses, mules/hinnies, frozen"
020711,"Meat of fowls of species Gallus domesticus, not cut in pieces, fresh/chilled",01231,"Poultry not cut in pieces, fresh/chilled"
020712,"Meat of fowls of species Gallus domesticus, not cut in pieces, frozen",01232,"Poultry not cut in pieces, frozen"
020713,"Cuts & edible offal of species Gallus domesticus, fresh/chilled",01234,"Poultry cuts & other offal, fresh/chilled"
020714,"Cuts & edible offal of species Gallus domesticus, frozen",01235,"Poultry cuts & offal, frozen"
020724,"Meat of turkeys, not cut in pieces, fresh/chilled",01231,"Poultry not cut in pieces, fresh/chilled"
020725,"Meat of turkeys, not cut in pieces, frozen",01232,"Poultry not cut in pieces, frozen"
020726,"Cuts & edible offal of turkey, fresh/chilled",01234,"Poultry cuts & other offal, fresh/chilled"
020727,"Cuts & edible offal of turkey, frozen",01235,"Poultry cuts & offal, frozen"
020732,"Meat of ducks/geese/guinea fowls, not cut in pieces, fresh/chilled",01231,"Poultry not cut in pieces, fresh/chilled"
020733,"Meat of ducks/geese/guinea fowls, not cut in pieces, frozen",01232,"Poultry not cut in pieces, frozen"
020734,"Fatty livers of ducks/geese/guinea fowls, fresh/chilled",01233,"Fatty livers of geese/ducks, fresh/chilled"
020735,"Meat & edible meat offal of ducks/geese/guinea fowls (excl. of 0207.32-0207.34), fresh/chilled",01234,"Poultry cuts & other offal, fresh/chilled"
020736,"Meat & edible meat offal of ducks/geese/guinea fowls (excl. of 0207.32-0207.34), frozen",01235,"Poultry cuts & offal, frozen"
020810,"Meat & edible meat offal of rabbits/hares, fresh/chilled/frozen",01291,"Meat & edible meat offal of rabbits/hares, fresh, chilled/frozen"
020830,"Meat & edible meat offal of primates, fresh/chilled/frozen",01299,"Meat & edible meat offal other than headings 012.91 & 012.93, n.e.s., fresh, chilled/frozen"
