BEA2012,NAICS2012_6d
33329A,333244
33329A,333249
333314,333314
333316,333316
333318,333318
333413,333413
333414,333414
333415,333415
333511,333511
333517,333517
333514,333514
33351B,333515
33351B,333519
333611,333611
333612,333612
333613,333613
333618,333618
33391A,333911
33391A,333913
333912,333912
333920,333921
333920,333922
333920,333923
333920,333924
333991,333991
33399A,333992
33399A,333997
33399A,333999
333993,333993
333994,333994
33399B,333995
33399B,333996
334111,334111
334112,334112
334118,334118
334210,334210
334220,334220
334290,334290
334413,334413
334418,334418
33441A,334412
33441A,334416
33441A,334417
33441A,334419
334510,334510
334511,334511
334512,334512
334513,334513
334514,334514
334515,334515
334516,334516
334517,334517
33451A,334519
334300,334310
334610,334613
334610,334614
335110,335110
335120,335121
335120,335122
335210,335210
335221,335221
335222,335222
335224,335224
335228,335228
335311,335311
335312,335312
335313,335313
335314,335314
335911,335911
335912,335912
335920,335921
335920,335929
335930,335931
335930,335932
335991,335991
335999,335999
336111,336111
336112,336112
336120,336120
336211,336211
336212,336212
336213,336213
336214,336214
336310,336310
336320,336320
3363A0,336330
3363A0,336340
336350,336350
336360,336360
336370,336370
336390,336390
336411,336411
336412,336412
336413,336413
336414,336414
33641A,336415
33641A,336419
336500,336510
336611,336611
336612,336612
336991,336991
336992,336992
336999,336999
337110,337110
337121,337121
337122,337122
33712N,337124
33712N,337125
337127,337127
33721A,337211
33721A,337212
33721A,337214
337215,337215
337900,337910
337900,337920
339112,339112
339113,339113
339114,339114
339115,339115
339116,339116
339910,339910
339920,339920
339930,339930
339940,339940
339950,339950
339990,339991
339990,339992
339990,339993
339990,339994
339990,339995
339990,339999
311111,311111
311119,311119
311210,311211
311210,311212
311210,311213
311221,311221
311224,311224
311225,311225
311230,311230
311300,311313
311300,311314
311300,311340
311300,311351
311300,311352
311410,311411
311410,311412
311420,311421
311420,311422
311420,311423
31151A,311511
31151A,311512
311513,311513
311514,311514
311520,311520
31161A,311611
31161A,311612
31161A,311613
311615,311615
311700,311710
311810,311811
311810,311812
311810,311813
3118A0,311821
3118A0,311824
3118A0,311830
311910,311911
311910,311919
311920,311920
311930,311930
311940,311941
311940,311942
311990,311991
311990,311999
312110,312111
312110,312112
312110,312113
312120,312120
312130,312130
312140,312140
312200,312230
313100,313110
313200,313210
313200,313220
313200,313230
313200,313240
313300,313310
313300,313320
314110,314110
314120,314120
314900,314910
314900,314994
314900,314999
315000,315110
315000,315190
315000,315210
315000,315220
315000,315240
315000,315280
315000,315990
316000,316110
316000,316210
316000,316992
316000,316998
322110,322110
322120,322121
322120,322122
322130,322130
322210,322211
322210,322212
322210,322219
322220,322220
322230,322230
322291,322291
322299,322299
323110,323111
323110,323113
323110,323117
323120,323120
324110,324110
324121,324121
324122,324122
324190,324191
324190,324199
325110,325110
325120,325120
325130,325130
325180,325180
325190,325193
325190,325194
325190,325199
325211,325211
3252A0,325212
3252A0,325220
325411,325411
325412,325412
325413,325413
325414,325414
325310,325311
325310,325312
325310,325314
325320,325320
325510,325510
325520,325520
325610,325611
325610,325612
325610,325613
325620,325620
325910,325910
3259A0,325920
3259A0,325991
3259A0,325992
3259A0,325998
326110,326111
326110,326112
326110,326113
326120,326121
326120,326122
326130,326130
326140,326140
326150,326150
326160,326160
326190,326191
326190,326199
326210,326211
326210,326212
326220,326220
326290,326291
326290,326299
423100,423110
423100,423120
423100,423130
423100,423140
423400,423410
423400,423420
423400,423430
423400,423440
423400,423450
423400,423460
423400,423490
423600,423610
423600,423620
423600,423690
423800,423810
423800,423820
423800,423830
423800,423840
423800,423850
423800,423860
423A00,423210
423A00,423220
423A00,423310
423A00,423320
423A00,423330
423A00,423390
423A00,423510
423A00,423520
423A00,423710
423A00,423720
423A00,423730
423A00,423740
423A00,423910
423A00,423920
423A00,423930
423A00,423940
423A00,423990
424200,424210
424400,424410
424400,424420
424400,424430
424400,424440
424400,424450
424400,424460
424400,424470
424400,424480
424400,424490
424700,424710
424700,424720
424A00,424110
424A00,424120
424A00,424130
424A00,424310
424A00,424320
424A00,424330
424A00,424340
424A00,424510
424A00,424520
424A00,424590
424A00,424610
424A00,424690
424A00,424810
424A00,424820
424A00,424910
424A00,424920
424A00,424930
424A00,424940
424A00,424950
424A00,424990
425000,425110
425000,425120
441000,441110
441000,441120
441000,441210
441000,441222
441000,441228
441000,441310
441000,441320
445000,445110
445000,445120
445000,445210
445000,445220
445000,445230
445000,445291
452000,452111
452000,452112
452000,452910
452000,452990
444000,444110
444000,444120
444000,444130
444000,444190
444000,444210
444000,444220
446000,446110
446000,446120
446000,446130
446000,446191
446000,446199
447000,447110
447000,447190
448000,448110
448000,448120
448000,448130
448000,448140
448000,448150
448000,448190
454000,454111
454000,454112
454000,454113
454000,454210
454000,454310
454000,454390
4B0000,442110
4B0000,442210
4B0000,442291
4B0000,442299
4B0000,443141
4B0000,443142
4B0000,451110
4B0000,451120
4B0000,451130
4B0000,451140
4B0000,453110
4B0000,453210
4B0000,453220
4B0000,453310
4B0000,453910
4B0000,453920
4B0000,453930
4B0000,453991
4B0000,453998
481000,481111
481000,481112
481000,481211
481000,481212
481000,481219
482000,482111
482000,482112
483000,483111
483000,483112
483000,483113
483000,483114
483000,483211
483000,483212
484000,484110
484000,484121
484000,484122
484000,484210
484000,484220
484000,484230
485000,485111
485000,485112
485000,485113
485000,485119
485000,485210
485000,485310
485000,485320
485000,485410
485000,485510
485000,485991
485000,485999
486000,486110
486000,486210
486000,486910
486000,486990
48A000,487110
48A000,487210
48A000,487990
48A000,488111
48A000,488119
48A000,488190
48A000,488210
48A000,488310
48A000,488320
48A000,488330
48A000,488390
48A000,488410
48A000,488490
48A000,488510
48A000,488991
48A000,488999
492000,492110
492000,492210
493000,493110
493000,493120
493000,493130
493000,493190
511110,511110
511120,511120
511130,511130
5111A0,511140
5111A0,511191
5111A0,511199
511200,511210
512100,512110
512100,512120
512100,512131
512100,512132
512100,512191
512100,512199
512200,512230
512200,512240
512200,512290
515100,515111
515100,515112
515100,515120
515200,515210
517110,517110
517210,517210
517A00,517410
517A00,517911
517A00,517919
518200,518210
519130,519130
5191A0,519110
5191A0,519120
5191A0,519130
5191A0,519190
52A000,521110
52A000,522110
52A000,522120
52A000,522130
52A000,522190
522A00,522210
522A00,522220
522A00,522291
522A00,522292
522A00,522293
522A00,522294
522A00,522298
522A00,522310
522A00,522320
522A00,522390
523A00,523110
523A00,523120
523A00,523130
523A00,523140
523A00,523210
523900,523910
523900,523920
523900,523930
523900,523991
523900,523999
524113,524113
5241XX,524114
5241XX,524126
5241XX,524127
5241XX,524128
5241XX,524130
524200,524210
524200,524291
524200,524292
524200,524298
525000,525110
525000,525120
525000,525190
525000,525910
525000,525920
525000,525990
531HST,531110
531HST,531120
531HST,531130
531HST,531190
531HST,531210
531HST,531311
531HST,531312
531HST,531320
531HST,531390
531ORE,531110
531ORE,531120
531ORE,531130
531ORE,531190
531ORE,531210
531ORE,531311
531ORE,531312
531ORE,531320
531ORE,531390
532100,532111
532100,532112
532100,532120
532A00,532210
532A00,532220
532A00,532230
532A00,532291
532A00,532292
532A00,532299
532A00,532310
532400,532411
532400,532412
532400,532420
532400,532490
533000,533110
541100,541110
541100,541120
541100,541191
541100,541199
541200,541211
541200,541213
541200,541214
541200,541219
541300,541310
541300,541320
541300,541330
541300,541340
541300,541350
541300,541360
541300,541370
541300,541380
541610,541611
541610,541612
541610,541613
541610,541614
541610,541618
5416A0,541620
5416A0,541690
541700,541711
541700,541712
541700,541720
541800,541810
541800,541820
541800,541830
541800,541840
541800,541850
541800,541860
541800,541870
541800,541890
541400,541410
541400,541420
541400,541430
541400,541490
5419A0,541910
5419A0,541921
5419A0,541922
5419A0,541930
5419A0,541990
541940,541940
541511,541511
541512,541512
54151A,541513
54151A,541519
550000,551111
550000,551112
550000,551114
561300,561311
561300,561312
561300,561320
561300,561330
561700,561710
561700,561720
561700,561730
561700,561740
561700,561790
561100,561110
561200,561210
561400,561410
561400,561421
561400,561422
561400,561431
561400,561439
561400,561440
561400,561450
561400,561491
561400,561492
561400,561499
561500,561510
561500,561520
561500,561591
561500,561599
561600,561611
561600,561612
561600,561613
561600,561621
561600,561622
561900,561910
561900,561920
561900,561990
562000,562111
562000,562112
562000,562119
562000,562211
562000,562212
562000,562213
562000,562219
562000,562910
562000,562920
562000,562991
562000,562998
611100,611110
611A00,611210
611A00,611310
611B00,611410
611B00,611420
611B00,611430
611B00,611511
611B00,611512
611B00,611513
611B00,611519
611B00,611610
611B00,611620
611B00,611630
611B00,611691
611B00,611692
611B00,611699
611B00,611710
621100,621111
621100,621112
621200,621210
621300,621310
621300,621320
621300,621330
621300,621340
621300,621391
621300,621399
621400,621410
621400,621420
621400,621491
621400,621492
621400,621493
621400,621498
621500,621511
621500,621512
621600,621610
621900,621910
621900,621991
621900,621999
622000,622110
622000,622210
622000,622310
623A00,623110
623A00,623311
623A00,623312
623B00,623210
623B00,623220
623B00,623990
624100,624110
624100,624120
624100,624190
624A00,624210
624A00,624221
624A00,624229
624A00,624230
624A00,624310
624400,624410
711100,711110
711100,711120
711100,711130
711100,711190
711200,711211
711200,711212
711200,711219
711A00,711310
711A00,711320
711A00,711410
711500,711510
712000,712110
712000,712120
712000,712130
712000,712190
713100,713110
713100,713120
713200,713210
713200,713290
713900,713910
713900,713920
713900,713930
713900,713940
713900,713950
713900,713990
721000,721110
721000,721120
721000,721191
721000,721199
721000,721211
721000,721214
721000,721310
722110,722511
722211,722513
722A00,722310
722A00,722320
722A00,722330
722A00,722410
722A00,722514
722A00,722515
811100,811111
811100,811112
811100,811113
811100,811118
811100,811121
811100,811122
811100,811191
811100,811192
811100,811198
811200,811211
811200,811212
811200,811213
811200,811219
811300,811310
811400,811411
811400,811412
811400,811420
811400,811430
811400,811490
812100,812111
812100,812112
812100,812113
812100,812191
812100,812199
812200,812210
812200,812220
812300,812310
812300,812320
812300,812331
812300,812332
812900,812910
812900,812921
812900,812922
812900,812930
812900,812990
813100,813110
813A00,813211
813A00,813212
813A00,813219
813A00,813311
813A00,813312
813A00,813319
813B00,813410
813B00,813910
813B00,813920
813B00,813930
813B00,813940
813B00,813990
814000,814110
491000,491110
