HS 2017,BEC,Relationship
030799,112,n:n
030799,122,n:n
030811,112,n:1
030812,112,n:n
030812,122,n:n
030819,112,n:n
030819,122,n:n
030821,112,n:1
030822,112,n:n
030822,122,n:n
030829,112,n:n
030829,122,n:n
030830,112,n:n
030830,122,n:n
030890,112,n:n
030890,122,n:n
040110,112,n:1
040120,112,n:1
040140,112,n:1
040150,112,n:1
040210,121,n:1
040221,122,n:1
040229,122,n:1
040291,122,n:1
040299,122,n:1
040310,112,n:1
040390,112,n:1
040410,121,n:1
040490,121,n:1
040510,122,n:1
040520,122,n:1
040590,122,n:1
040610,122,n:1
040620,122,n:1
040630,122,n:1
040640,122,n:1
040690,122,n:1
040711,112,n:1
040719,112,n:1
040721,112,n:1
040729,112,n:1
040790,112,n:1
040811,121,n:1
040819,121,n:1
040891,121,n:1
040899,121,n:1
040900,112,n:1
041000,122,n:1
050100,21,n:1
050210,21,n:1
050290,21,n:1
050400,21,n:1
050510,21,n:1
050590,21,n:1
050610,21,n:1
050690,21,n:1
050710,21,n:1
050790,21,n:1
050800,21,n:1
051000,21,n:1
051110,21,n:1
051191,21,n:1
051199,21,n:1
060110,21,n:1
060120,21,n:1
060210,21,n:1
060220,21,n:1
060230,21,n:1
060240,21,n:1
060290,21,n:1
060311,63,n:1
060312,63,n:1
060313,63,n:1
060314,63,n:1
060315,63,n:1
060319,63,n:1
060390,63,n:1
060420,21,n:1
060490,21,n:1
070110,21,n:1
070190,112,n:1
070200,112,n:1
070310,112,n:1
070320,112,n:1
070390,112,n:1
070410,112,n:1
070420,112,n:1
070490,112,n:1
070511,112,n:1
070519,112,n:1
070521,112,n:1
070529,112,n:1
070610,112,n:1
070690,112,n:1
070700,112,n:1
070810,112,n:1
070820,112,n:1
070890,112,n:1
070920,112,n:1
070930,112,n:1
070940,112,n:1
070951,112,n:1
070959,112,n:1
070960,112,n:1
070970,112,n:1
070991,112,n:1
070992,112,n:1
070993,112,n:1
070999,112,n:1
071010,112,n:1
071021,112,n:1
071022,112,n:1
071029,112,n:1
