HS 2002 Product Code,HS 2002 Product Description,ISIC Revision 2 Product Code,ISIC Revision 2 Product Description
010110,Purebred breeding animals,1110,Agricultural and livestock production
010190,Other,1110,Agricultural and livestock production
010210,Purebred breeding animals,1110,Agricultural and livestock production
010290,Other,1110,Agricultural and livestock production
010310,Purebred breeding animals,1110,Agricultural and livestock production
010391,Weighing less than 50 kg,1110,Agricultural and livestock production
010392,Weighing 50 kg or more,1110,Agricultural and livestock production
010410,Sheep,1110,Agricultural and livestock production
010420,Goats,1110,Agricultural and livestock production
010511,Fowls of the species Gallus domesticus,1110,Agricultural and livestock production
010512,Turkeys,1110,Agricultural and livestock production
010519,Other,1110,Agricultural and livestock production
010592,"Fowls of the species Gallus domesticus, weighing not more than 2,000 g",1110,Agricultural and livestock production
010593,"Fowls of the species Gallus domesticus, weighing more than 2,000 g",1110,Agricultural and livestock production
010599,Other,1110,Agricultural and livestock production
010611,Primates,1130,"Hunting, trapping and game propagation"
010612,"Whales, dolphins and porpoises (mammals of the order       Cetacea); manatees and dugongs (mammals of the order  Sirenia)",1130,"Hunting, trapping and game propagation"
010619,Other,1130,"Hunting, trapping and game propagation"
010620,Reptiles (including snakes and turtles),1130,"Hunting, trapping and game propagation"
010631,Birds of prey,1130,"Hunting, trapping and game propagation"
010632,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)",1130,"Hunting, trapping and game propagation"
010639,Other,1130,"Hunting, trapping and game propagation"
010690,Other,1130,"Hunting, trapping and game propagation"
020110,Carcasses and halfcarcasses,3111,"Slaughtering, preparing and preserving meat"
020120,Other cuts with bone in,3111,"Slaughtering, preparing and preserving meat"
020130,Boneless,3111,"Slaughtering, preparing and preserving meat"
020210,Carcasses and halfcarcasses,3111,"Slaughtering, preparing and preserving meat"
020220,Other cuts with bone in,3111,"Slaughtering, preparing and preserving meat"
020230,Boneless,3111,"Slaughtering, preparing and preserving meat"
020311,Carcasses and halfcarcasses,3111,"Slaughtering, preparing and preserving meat"
020312,"Hams, shoulders and cuts thereof, with bone in",3111,"Slaughtering, preparing and preserving meat"
020319,Other,3111,"Slaughtering, preparing and preserving meat"
020321,Carcasses and halfcarcasses,3111,"Slaughtering, preparing and preserving meat"
020322,"Hams, shoulders and cuts thereof, with bone in",3111,"Slaughtering, preparing and preserving meat"
020329,Other,3111,"Slaughtering, preparing and preserving meat"
020410,"Carcasses and halfcarcasses of lamb, fresh or chilled",3111,"Slaughtering, preparing and preserving meat"
020421,Carcasses and halfcarcasses,3111,"Slaughtering, preparing and preserving meat"
020422,Other cuts with bone in,3111,"Slaughtering, preparing and preserving meat"
020423,Boneless,3111,"Slaughtering, preparing and preserving meat"
020430,"Carcasses and halfcarcasses of lamb, frozen",3111,"Slaughtering, preparing and preserving meat"
020441,Carcasses and halfcarcasses,3111,"Slaughtering, preparing and preserving meat"
020442,Other cuts with bone in,3111,"Slaughtering, preparing and preserving meat"
020443,Boneless,3111,"Slaughtering, preparing and preserving meat"
020450,Meat of goats,3111,"Slaughtering, preparing and preserving meat"
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",3111,"Slaughtering, preparing and preserving meat"
020610,"Of bovine animals, fresh or chilled",3111,"Slaughtering, preparing and preserving meat"
020621,Tongues,3111,"Slaughtering, preparing and preserving meat"
020622,Livers,3111,"Slaughtering, preparing and preserving meat"
020629,Other,3111,"Slaughtering, preparing and preserving meat"
020630,"Of swine, fresh or chilled",3111,"Slaughtering, preparing and preserving meat"
020641,Livers,3111,"Slaughtering, preparing and preserving meat"
020649,Other,3111,"Slaughtering, preparing and preserving meat"
020680,"Other, fresh or chilled",3111,"Slaughtering, preparing and preserving meat"
020690,"Other, frozen",3111,"Slaughtering, preparing and preserving meat"
020711,"Not cut in pieces, fresh or chilled",3111,"Slaughtering, preparing and preserving meat"
020712,"Not cut in pieces, frozen",3111,"Slaughtering, preparing and preserving meat"
020713,"Cuts and offal, fresh or chilled",3111,"Slaughtering, preparing and preserving meat"
020714,"Cuts and offal, frozen",3111,"Slaughtering, preparing and preserving meat"
020724,"Not cut in pieces, fresh or chilled",3111,"Slaughtering, preparing and preserving meat"
020725,"Not cut in pieces, frozen",3111,"Slaughtering, preparing and preserving meat"
020726,"Cuts and offal, fresh or chilled",3111,"Slaughtering, preparing and preserving meat"
020727,"Cuts and offal, frozen",3111,"Slaughtering, preparing and preserving meat"
020732,"Not cut in pieces, fresh or chilled",3111,"Slaughtering, preparing and preserving meat"
020733,"Not cut in pieces, frozen",3111,"Slaughtering, preparing and preserving meat"
020734,"Fatty livers, fresh or chilled",3111,"Slaughtering, preparing and preserving meat"
020735,"Other, fresh or chilled",3111,"Slaughtering, preparing and preserving meat"
020736,"Other, frozen",3111,"Slaughtering, preparing and preserving meat"
020810,Of rabbits or hares,3111,"Slaughtering, preparing and preserving meat"
020820,Frogs' legs,3111,"Slaughtering, preparing and preserving meat"
020830,Of primates,3111,"Slaughtering, preparing and preserving meat"
020840,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia)",3111,"Slaughtering, preparing and preserving meat"
020850,Of reptiles (including snakes and turtles),3111,"Slaughtering, preparing and preserving meat"
020890,Other,3111,"Slaughtering, preparing and preserving meat"
020900,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked.",3111,"Slaughtering, preparing and preserving meat"
021011,"Hams, shoulders and cuts thereof, with bone in",3111,"Slaughtering, preparing and preserving meat"
021012,Bellies (streaky) and cuts thereof,3111,"Slaughtering, preparing and preserving meat"
021019,Other,3111,"Slaughtering, preparing and preserving meat"
021020,Meat of bovine animals,3111,"Slaughtering, preparing and preserving meat"
021091,Of primates,3111,"Slaughtering, preparing and preserving meat"
021092,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of  manatees and dugongs (mammals of the order Sirenia)",3111,"Slaughtering, preparing and preserving meat"
021093,Of reptiles (including snakes and turtles),3111,"Slaughtering, preparing and preserving meat"
021099,Other,3111,"Slaughtering, preparing and preserving meat"
030110,Ornamental fish,1301,Ocean and coastal fishing
030191,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",1301,Ocean and coastal fishing
030192,Eels (Anguilla spp.),1301,Ocean and coastal fishing
030193,Carp,1301,Ocean and coastal fishing
030199,Other,1301,Ocean and coastal fishing
030211,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",1301,Ocean and coastal fishing
030212,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",1301,Ocean and coastal fishing
030219,Other,1301,Ocean and coastal fishing
030221,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",1301,Ocean and coastal fishing
030222,Plaice (Pleuronectes platessa),1301,Ocean and coastal fishing
030223,Sole (Solea spp.),1301,Ocean and coastal fishing
030229,Other,1301,Ocean and coastal fishing
030231,Albacore or longfinned tunas (Thunnus alalunga),1301,Ocean and coastal fishing
030232,Yellowfin tunas (Thunnus albacares),1301,Ocean and coastal fishing
030233,Skipjack or stripebellied bonito,1301,Ocean and coastal fishing
030234,Bigeye tunas (Thunnus obesus),1301,Ocean and coastal fishing
