HS - Combined  Product Code,HS - Combined  Product Description,SITC Revision 2 Product Code,SITC Revision 2 Product Description
900792,For projectors,88129,Parts of apparatus of 881.2-
900810,Slide projectors,88131,"Image projectors,photographic enlargers & reducers"
900820,"Microfilm, microfiche or other microform readers, whether or not capable of producing copies",88131,"Image projectors,photographic enlargers & reducers"
900830,Other image projectors,88131,"Image projectors,photographic enlargers & reducers"
900840,Photographic (other than cinematographic) enlargers and reducers,88131,"Image projectors,photographic enlargers & reducers"
900890,Parts and accessories,88131,"Image projectors,photographic enlargers & reducers"
900911,(-2006) Operating by reproducing the original image directly onto the copy (direct process),75182,Photo-copying apparatus
900912,(-2006) Operating by reproducing the original image via an intermediate onto the copy (indirect process),75182,Photo-copying apparatus
900921,(-2006) Incorporating an optical system,75182,Photo-copying apparatus
900922,(-2006) Of the contact type,75182,Photo-copying apparatus
900930,(-2006) Thermocopying apparatus,75182,Photo-copying apparatus
900990,(-2001) Parts and accessories,75919,Parts of and accessories suitable for 751.82
900991,(2002-2006) Automatic document feeders,75919,Parts of and accessories suitable for 751.82
900992,(2002-2006) Paper feeders,75919,Parts of and accessories suitable for 751.82
900993,(2002-2006) Sorters,75919,Parts of and accessories suitable for 751.82
900999,(2002-2006) Other,75919,Parts of and accessories suitable for 751.82
901010,Apparatus and equipment for automatically developing photographic (including cinematographic) film or paper in rolls or for automatically exposing developed film to rolls of photographic paper,88139,App.& equip.of a kind used in photo-cinematogr.lab
901020,(-1995) Apparatus and equipment for photographic (,88139,App.& equip.of a kind used in photo-cinematogr.lab
901030,(-1995) Projection screens,88139,App.& equip.of a kind used in photo-cinematogr.lab
901041,(1996-2006) Direct writeonwafer apparatus,88139,App.& equip.of a kind used in photo-cinematogr.lab
901042,(1996-2006) Step and repeat aligners,88139,App.& equip.of a kind used in photo-cinematogr.lab
901049,(1996-2006) Other,88139,App.& equip.of a kind used in photo-cinematogr.lab
901050,(1996-) Other apparatus and equipment for photographic (including cinematographic) laboratories; negatoscopes,88139,App.& equip.of a kind used in photo-cinematogr.lab
901060,(1996-) Projection screens,88139,App.& equip.of a kind used in photo-cinematogr.lab
901090,Parts and accessories,88139,App.& equip.of a kind used in photo-cinematogr.lab
901110,Stereoscopic microscopes,87104,Compound optical microscopes
901120,"Other microscopes, for photomicrography, cinephotomicrography or microprojection",87104,Compound optical microscopes
901180,Other microscopes,87104,Compound optical microscopes
901190,Parts and accessories,87104,Compound optical microscopes
901210,Microscopes other than optical microscopes; diffraction apparatus,87103,Microscopes & diffraction apparatus
901290,Parts and accessories,87103,Microscopes & diffraction apparatus
901310,"Telescopic sights for fitting to arms; periscopes; telescopes designed to form parts of machines, appliances, instruments or apparatus of this Chapter or Section XVI",87109,Optical appliances and instruments
901320,"Lasers, other than laser diodes",87109,Optical appliances and instruments
901380,"Other devices, appliances and instruments",87109,Optical appliances and instruments
901390,Parts and accessories,87109,Optical appliances and instruments
901410,Direction finding compasses,87411,"Navigational instruments,non-electrical,compasses"
901420,Instruments and appliances for aeronautical or space navigation (other than compasses),87411,"Navigational instruments,non-electrical,compasses"
901480,Other instruments and appliances,87411,"Navigational instruments,non-electrical,compasses"
901490,Parts and accessories,8749,"Parts,n.e.s.accessories for 873--,8743-,87454,8748"
901510,Rangefinders,87412,"Surveying,hydrographic,meteorological instruments"
901520,Theodolites and tachymeters (tacheometers),87412,"Surveying,hydrographic,meteorological instruments"
901530,Levels,87412,"Surveying,hydrographic,meteorological instruments"
901540,Photogrammetrical surveying instruments and appliances,87412,"Surveying,hydrographic,meteorological instruments"
901580,Other instruments and appliances,87412,"Surveying,hydrographic,meteorological instruments"
901590,Parts and accessories,8749,"Parts,n.e.s.accessories for 873--,8743-,87454,8748"
901600,"Balances of a sensitivity of 5 cg or better, with or without weights.",87451,Balances of a sensitivity of 5 cg or better
901710,"Drafting tables and machines, whether or not automatic",87421,"Drawing,marking-out,disc calculators and the like"
901720,"Other drawing, markingout or mathematical calculating instruments",87421,"Drawing,marking-out,disc calculators and the like"
901730,"Micrometers, callipers and gauges",87421,"Drawing,marking-out,disc calculators and the like"
901780,Other instruments,87421,"Drawing,marking-out,disc calculators and the like"
901790,Parts and accessories,87429,"Parts,n.e.s.& accessories for the instrum.of 87421"
901811,Electrocardiographs,7741,Electro-medical apparatus
901812,(1996-) Ultrasonic scanning apparatus,7741,Electro-medical apparatus
901813,(1996-) Magnetic resonance imaging apparatus,7741,Electro-medical apparatus
901814,(1996-) Scintigraphic apparatus,7741,Electro-medical apparatus
901819,Other,7741,Electro-medical apparatus
901820,Ultraviolet or infrared ray apparatus,7741,Electro-medical apparatus
901831,"Syringes, with or without needles",87202,"Medical,surgical,veterinary instruments"
901832,Tubular metal needles and needles for sutures,87202,"Medical,surgical,veterinary instruments"
901839,Other,87202,"Medical,surgical,veterinary instruments"
901841,"Dental drill engines, whether or not combined on a single base with other dental equipment",87201,Dental instruments and appliances
901849,Other,82121,"Medical,dental,surgical or veterinary furniture"
901850,Other ophthalmic instruments and appliances,87202,"Medical,surgical,veterinary instruments"
901890,Other instruments and appliances,87202,"Medical,surgical,veterinary instruments"
901910,Mechanotherapy appliances; massage apparatus; psychological aptitudetesting apparatus,87203,"Mechano-therapy appliances,massage app.etc."
