HS - Combined  Product Code,HS - Combined  Product Description,SITC Revision 2 Product Code,SITC Revision 2 Product Description
854319,(1996-2006) Other,77885,Particle accelerators and parts
854320,Signal generators,77886,Other elect.appl.having individual functions
854330,"Machines and apparatus for electroplating, electrolysis or electrophoresis",77886,Other elect.appl.having individual functions
854340,(1996-2006) Electric fence energisers,77886,Other elect.appl.having individual functions
854380,"(-1995) Electrical machines and apparatus, having ",77886,Other elect.appl.having individual functions
854381,(1996-2006) Proximity cards and tags,77886,Other elect.appl.having individual functions
854389,(1996-2006) Other,77886,Other elect.appl.having individual functions
854390,Parts,77886,Other elect.appl.having individual functions
854411,Of copper,7731,"Insulated,elect.wire,cable,bars,strip and the like"
854419,Other,7731,"Insulated,elect.wire,cable,bars,strip and the like"
854420,Coaxial cable and other coaxial electric conductors,7731,"Insulated,elect.wire,cable,bars,strip and the like"
854430,"Ignition wiring sets and other wiring sets of a kind used in vehicles, aircraft or ships",7731,"Insulated,elect.wire,cable,bars,strip and the like"
854441,(-2006) Fitted with connectors,7731,"Insulated,elect.wire,cable,bars,strip and the like"
854449,Other,7731,"Insulated,elect.wire,cable,bars,strip and the like"
854451,(-2006) Fitted with connectors,7731,"Insulated,elect.wire,cable,bars,strip and the like"
854459,(-2006) Other,7731,"Insulated,elect.wire,cable,bars,strip and the like"
