HS 1988/92 Product Code,HS 1988/92 Product Description,ISIC Revision 3 Product Code,ISIC Revision 3 Product Description
021011,"Unboned swine hams, shoulders and cuts thereof,",1511,"Production, processing and preserving of meat and meat products"
021012,"Bellies and cuts thereof of swine, salted... or",1511,"Production, processing and preserving of meat and meat products"
021019,"Meat of swine, salted... or smoked, nes",1511,"Production, processing and preserving of meat and meat products"
021020,"Meat of bovine animals, salted... or smoked",1511,"Production, processing and preserving of meat and meat products"
021090,"Other meat, nes, salted... or smoked; flours an",1511,"Production, processing and preserving of meat and meat products"
030110,Live ornamental fish,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030191,Live trout,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030192,Live eels,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030193,Live carp,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030199,Other live fish,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030211,Fresh or chilled trout,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030212,"Fresh or chilled Pacific, Atlantic and Danube s",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030219,Fresh or chilled salmonidae (excl. 0302.11 and,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030221,Fresh or chilled halibut,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030222,Fresh or chilled plaice,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030223,Fresh or chilled sole,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030229,"Fresh or chilled flat fish (excl. halibut, plai",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030231,Fresh or chilled albacore or longfinned tunas,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030232,Fresh or chilled yellowfin tunas,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030233,Fresh or chilled skipjack or stripe-bellied bon,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030239,"Fresh or chilled tunas, nes",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030240,Fresh or chilled herrings (excl. livers and roe,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030250,Fresh or chilled cod (excl. livers and roes),0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030261,"Fresh or chilled sardines, brisling or sparts",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030262,Fresh or chilled haddock,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030263,Fresh or chilled coalfish,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030264,Fresh or chilled mackerel,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030265,Fresh or chilled dogfish and other sharks,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030266,Fresh or chilled eels,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030269,"Fresh or chilled fish, nes",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030270,Fresh or chilled fish livers and roes,1512,Processing and preserving of fish and fish products
030310,Frozen Pacific salmon,1512,Processing and preserving of fish and fish products
030321,Frozen trout,1512,Processing and preserving of fish and fish products
030322,Frozen Atlantic and Danube salmon,1512,Processing and preserving of fish and fish products
030329,"Frozen salmonidae (excl. Pacific, Atlantic, Dan",1512,Processing and preserving of fish and fish products
030331,Frozen halibut,1512,Processing and preserving of fish and fish products
030332,Frozen plaice,1512,Processing and preserving of fish and fish products
030333,Frozen sole,1512,Processing and preserving of fish and fish products
030339,"Frozen flat fish (excl. halibut, plaice and sol",1512,Processing and preserving of fish and fish products
030341,Frozen albacore or longfinned tunas,1512,Processing and preserving of fish and fish products
030342,Frozen yellowfin tunas,1512,Processing and preserving of fish and fish products
030343,Frozen skipjack or stripe-bellied bonito,1512,Processing and preserving of fish and fish products
030349,"Frozen tunas, nes",1512,Processing and preserving of fish and fish products
030350,Frozen herrings (excl. livers and roes),1512,Processing and preserving of fish and fish products
030360,Frozen cod (excl. livers and roes),1512,Processing and preserving of fish and fish products
030371,"Frozen sardines, brisling or sprats",1512,Processing and preserving of fish and fish products
030372,Frozen haddock,1512,Processing and preserving of fish and fish products
030373,Frozen coalfish,1512,Processing and preserving of fish and fish products
030374,Frozen mackerel,1512,Processing and preserving of fish and fish products
030375,Frozen dogfish and sharks,1512,Processing and preserving of fish and fish products
030376,Frozen eels,1512,Processing and preserving of fish and fish products
030377,Frozen sea-bass,1512,Processing and preserving of fish and fish products
030378,Frozen hake,1512,Processing and preserving of fish and fish products
030379,"Frozen fish, nes",1512,Processing and preserving of fish and fish products
030380,Frozen fish livers and roes,1512,Processing and preserving of fish and fish products
030410,Fresh or chilled fish fillets,1512,Processing and preserving of fish and fish products
030420,Frozen fish fillets,1512,Processing and preserving of fish and fish products
030490,Frozen fish meat (excl. fillets),1512,Processing and preserving of fish and fish products
030510,"Flours, meals and pellets of fish, fit for huma",1512,Processing and preserving of fish and fish products
030520,"Livers and roes, dried, smoked, salted or in br",1512,Processing and preserving of fish and fish products
030530,"Fish fillets, dried, salted or in brine, but no",1512,Processing and preserving of fish and fish products
030541,"Smoked Pacific, Atlantic and Danube salmon (inc",1512,Processing and preserving of fish and fish products
030542,Smoked herrings (incl. fillets),1512,Processing and preserving of fish and fish products
030549,Smoked fish (excl. salmon and herrings),1512,Processing and preserving of fish and fish products
030551,"Dried cod, not smoked",1512,Processing and preserving of fish and fish products
030559,"Dried fish, not smoked (excl. cod)",1512,Processing and preserving of fish and fish products
030561,Herrings salted or in brine but not dried or sm,1512,Processing and preserving of fish and fish products
030562,Cod salted or in brine but not dried or smoked,1512,Processing and preserving of fish and fish products
030563,Anchovies salted or in brine but not dried or s,1512,Processing and preserving of fish and fish products
030569,Other fish salted or in brine but not dried or,1512,Processing and preserving of fish and fish products
030611,Frozen rock lobster and other sea crawfish,1512,Processing and preserving of fish and fish products
030612,Frozen lobsters,1512,Processing and preserving of fish and fish products
030613,Frozen shrimps and prawns,1512,Processing and preserving of fish and fish products
030614,Frozen crabs,1512,Processing and preserving of fish and fish products
030619,"Frozen crustaceans,nes,including flours,meals &",1512,Processing and preserving of fish and fish products
030621,Rock lobster and other sea crawfish (excl. froz,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030622,Lobsters (excl.frozen),0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030623,Shrimps and prawns (excl. frozen),0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030624,Crabs (excl.frozen),0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030629,"Crustaceans not frozen,nes,includ.flours,meals,",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030710,Oysters,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030721,"Scallops, live, fresh or chilled",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030729,"Scallops (excl. live, fresh or chilled)",1512,Processing and preserving of fish and fish products
030731,"Mussels, live, fresh or chilled",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030739,"Mussels (excl. live, fresh or chilled)",1512,Processing and preserving of fish and fish products
030741,"Cuttle fish and squid, live, fresh or chilled",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030749,"Cuttle fish and squid (excl. live, fresh or chi",1512,Processing and preserving of fish and fish products
030751,"Octopus live, fresh or chilled",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030759,"Octopus (excl. live, fresh or chilled)",1512,Processing and preserving of fish and fish products
030760,Snails other than sea snails,0122,Other animal farming; production of animal products n.e.c.
030791,"Aquatic invertebrates, nes, live, fresh or chil",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030799,"Aquatic invertebrates,nes,includ.flours,meals,p",1512,Processing and preserving of fish and fish products
040110,"Milk and cream of =<1% fat, not concentrated or",1520,Manufacture of dairy products
040120,"Milk and cream of >1% but =<6% fat, not concent",1520,Manufacture of dairy products
040130,"Milk and cream of >6% fat, not concentrated or",1520,Manufacture of dairy products
040210,Milk and cream in solid forms of =<1.5% fat,1520,Manufacture of dairy products
040221,"Milk and cream in solid forms of >1.5% fat, uns",1520,Manufacture of dairy products
040229,"Milk and cream in solid forms of >1.5% fat, swe",1520,Manufacture of dairy products
040291,"Concentrated milk and cream, unsweetened (excl.",1520,Manufacture of dairy products
040299,Sweetened milk and cream (excl. in solid form),1520,Manufacture of dairy products
040310,Yogurt,1520,Manufacture of dairy products
040390,"Buttermilk, curdled milk and cream, etc (excl.",1520,Manufacture of dairy products
040410,"Whey & modified whey, concentrated or not, or c",1520,Manufacture of dairy products
040490,Products consisting of natural milk constituent,1520,Manufacture of dairy products
040500,Butter and other fats and oils derived from mil,1520,Manufacture of dairy products
040610,"Fresh (unripened or uncured) cheese, including",1520,Manufacture of dairy products
040620,Grated or powdered cheese,1520,Manufacture of dairy products
040630,"Processed cheese, not grated or powdered",1520,Manufacture of dairy products
040640,Blue-veined cheese,1520,Manufacture of dairy products
