BEA2002,NAICS2002_6d
1111A0 ,111110
1111A0 ,111120
1111B0 ,111130
1111B0 ,111140
1111B0 ,111150
1111B0 ,111160
1111B0 ,111191
1111B0 ,111199
111200,111211
111200,111219
1113A0 ,111310
1113A0 ,111320
1113A0 ,111331
1113A0 ,111332
1113A0 ,111333
1113A0 ,111334
1113A0 ,111336
1113A0 ,111339
111335,111335
111335,111336
111400,111411
111400,111419
111400,111421
111400,111422
111910,111910
111920,111920
1119A0 ,111930
1119A0 ,111991
1119B0 ,111940
1119B0 ,111992
1119B0 ,111998
1121A0 ,112111
1121A0 ,112112
1121A0 ,112130
112120,112120
112A00 ,112210
112A00 ,112410
112A00 ,112420
112A00 ,112511
112A00 ,112512
112A00 ,112519
112A00 ,112910
112A00 ,112920
112A00 ,112930
112A00 ,112990
112300,112310
112300,112320
112300,112330
112300,112340
112300,112390
113A00 ,113110
113A00 ,113210
113300,113310
114100,114111
114100,114112
114100,114119
114200,114210
115000,115111
115000,115112
115000,115113
115000,115114
115000,115115
115000,115116
115000,115210
115000,115310
211000,211111
211000,211112
212100,212111
212100,212112
212100,212113
212210,212210
2122A0 ,212221
2122A0 ,212222
2122A0 ,212291
2122A0 ,212299
212230,212231
212230,212234
212310,212311
212310,212312
212310,212313
212310,212319
212320,212321
212320,212322
212320,212324
212320,212325
212390,212391
212390,212392
212390,212393
212390,212399
213111,213111
213112,213112
21311A ,213113
21311A ,213114
21311A ,213115
221100,221111
221100,221112
221100,221113
221100,221119
221100,221121
221100,221122
221200,221210
221300,221310
221300,221320
221300,221330
230101,236115
230101,236116
230101,236117
230101,236118
230101,236210
230101,236220
230101,237110
230101,237120
230101,237130
230101,237210
230101,237310
230101,237990
230101,238110
230101,238120
230101,238130
230101,238140
230101,238150
230101,238160
230101,238170
230101,238190
230101,238210
230101,238220
230101,238290
230101,238310
230101,238320
230101,238330
230101,238340
230101,238350
230101,238390
230101,238910
230101,238990
230102,236115
230102,236116
230102,236117
230102,236118
230102,236210
230102,236220
230102,237110
230102,237120
230102,237130
230102,237210
230102,237310
230102,237990
230102,238110
230102,238120
230102,238130
230102,238140
230102,238150
230102,238160
230102,238170
230102,238190
230102,238210
230102,238220
230102,238290
230102,238310
230102,238320
230102,238330
230102,238340
230102,238350
230102,238390
230102,238910
230102,238990
230103,236115
230103,236116
230103,236117
230103,236118
230103,236210
230103,236220
230103,237110
230103,237120
230103,237130
230103,237210
230103,237310
230103,237990
230103,238110
230103,238120
230103,238130
230103,238140
230103,238150
230103,238160
230103,238170
230103,238190
230103,238210
230103,238220
230103,238290
230103,238310
230103,238320
230103,238330
230103,238340
230103,238350
230103,238390
230103,238910
230103,238990
230201,236115
230201,236116
230201,236117
230201,236118
230201,236210
230201,236220
230201,237110
230201,237120
230201,237130
230201,237210
230201,237310
230201,237990
230201,238110
230201,238120
230201,238130
230201,238140
