HS 1988/92 Product Code,HS 1988/92 Product Description,ISIC Revision 2 Product Code,ISIC Revision 2 Product Description
010111,Live pure bred breeding horses,1110,Agricultural and livestock production
010119,"Live horses, other than for pure-bred breeding",1110,Agricultural and livestock production
010120,Live asses mules and hinnies,1110,Agricultural and livestock production
010210,Live pure-bred breeding bovine animals,1110,Agricultural and livestock production
010290,"Live bovine animals, other than pure-bred breed",1110,Agricultural and livestock production
010310,Live pure-bred breeding swine,1110,Agricultural and livestock production
010391,Live swine weighing <50kg (excl. pure-bred bree,1110,Agricultural and livestock production
010392,Live swine weighing >=50kg (excl. pure-bred bre,1110,Agricultural and livestock production
010410,Live sheep,1110,Agricultural and livestock production
010420,Live goats,1110,Agricultural and livestock production
010511,"Live fowls of species Gallus domesticus, weighi",1110,Agricultural and livestock production
010519,"Live ducks, geese, turkeys and guinea fowls, we",1110,Agricultural and livestock production
010591,Live fowls of species Gallus domesticus (chicke,1110,Agricultural and livestock production
010599,"Live ducks, geese, turkeys and guinea fowls, we",1110,Agricultural and livestock production
010600,"Other live animals, nes",1130,"Hunting, trapping and game propagation"
020110,Fresh or chilled bovine carcasses and half carc,3111,"Slaughtering, preparing and preserving meat"
020120,Fresh or chilled unboned bovine meat (excl. car,3111,"Slaughtering, preparing and preserving meat"
020130,Fresh or chilled boneless bovine meat,3111,"Slaughtering, preparing and preserving meat"
020210,Frozen bovine carcasses and half carcasses,3111,"Slaughtering, preparing and preserving meat"
020220,Frozen unboned bovine meat (excl. carcasses),3111,"Slaughtering, preparing and preserving meat"
020230,Frozen boneless bovine meat,3111,"Slaughtering, preparing and preserving meat"
020311,Fresh or chilled swine carcasses and half carca,3111,"Slaughtering, preparing and preserving meat"
020312,"Fresh or chilled unboned hams, shoulders and cu",3111,"Slaughtering, preparing and preserving meat"
020319,"Fresh or chilled swine meat, nes (unboned)",3111,"Slaughtering, preparing and preserving meat"
020321,Frozen swine carcasses and half carcasses,3111,"Slaughtering, preparing and preserving meat"
020322,"Frozen unboned hams, shoulders and cuts thereof",3111,"Slaughtering, preparing and preserving meat"
020329,"Frozen swine meat, nes",3111,"Slaughtering, preparing and preserving meat"
020410,Fresh or chilled lamb carcasses and half carcas,3111,"Slaughtering, preparing and preserving meat"
020421,Fresh or chilled sheep carcasses and half carca,3111,"Slaughtering, preparing and preserving meat"
020422,Fresh or chilled unboned meat of sheep,3111,"Slaughtering, preparing and preserving meat"
