HS 1996 Product Code,HS 1996 Product Description,ISIC Revision 2 Product Code,ISIC Revision 2 Product Description
020900,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked.",3111,"Slaughtering, preparing and preserving meat"
021011,"Meat of swine :-- Hams, shoulders and cuts thereof, with bone in",3111,"Slaughtering, preparing and preserving meat"
021012,Meat of swine :-- Bellies (streaky) and cuts thereof,3111,"Slaughtering, preparing and preserving meat"
021019,Meat of swine :-- Other,3111,"Slaughtering, preparing and preserving meat"
021020,Meat of bovine animals,3111,"Slaughtering, preparing and preserving meat"
021090,"Other, including edible flours and meals of meat or meat offal",3111,"Slaughtering, preparing and preserving meat"
030110,Ornamental fish,1301,Ocean and coastal fishing
030191,"Other live fish :-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",1301,Ocean and coastal fishing
030192,Other live fish :-- Eels (Anguilla spp.),1301,Ocean and coastal fishing
030193,Other live fish :-- Carp,1301,Ocean and coastal fishing
030199,Other live fish :-- Other,1301,Ocean and coastal fishing
030211,"Salmonidae, excluding livers and roes :-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",1301,Ocean and coastal fishing
030212,"Salmonidae, excluding livers and roes :-- Pacific salmon (Oncorhynchus nerka, Oncorhynchusgorbascha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhnchus rhodurus), Altantic salmon (Sa",1301,Ocean and coastal fishing
030219,"Salmonidae, excluding livers and roes :-- Other",1301,Ocean and coastal fishing
030221,"Salmonidae, excluding livers and roes :-- Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",1301,Ocean and coastal fishing
030222,"Salmonidae, excluding livers and roes :-- Plaice (Pleuronectes platessa)",1301,Ocean and coastal fishing
030223,"Salmonidae, excluding livers and roes :-- Sole (Solea spp.)",1301,Ocean and coastal fishing
030229,"Salmonidae, excluding livers and roes :-- Other",1301,Ocean and coastal fishing
030231,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Albacore or longfinned tunas (Thunnus alalunga)",1301,Ocean and coastal fishing
030232,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Yellowfin tunas (Thunnus albacares)",1301,Ocean and coastal fishing
030233,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Skipjack or stripe-bellied bonito",1301,Ocean and coastal fishing
030239,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Other",1301,Ocean and coastal fishing
030240,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :- Herrings (Clupea harengus, Clupea pallasii), excluding livers and roes",1301,Ocean and coastal fishing
030250,"Tunas (of the genus Thunnus) skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes",1301,Ocean and coastal fishing
030261,"Other fish, excluding livers and roes :-- Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",1301,Ocean and coastal fishing
030262,"Other fish, excluding livers and roes :-- Haddock (Melanogrammus aeglefinus)",1301,Ocean and coastal fishing
030263,"Other fish, excluding livers and roes :-- Coalfish (Pollachius virens)",1301,Ocean and coastal fishing
030264,"Other fish, excluding livers and roes :-- Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",1301,Ocean and coastal fishing
030265,"Other fish, excluding livers and roes :-- Dogfish and other sharks",1301,Ocean and coastal fishing
030266,"Other fish, excluding livers and roes :-- Eels (Anguilla spp.)",1301,Ocean and coastal fishing
030269,"Other fish, excluding livers and roes :-- Other",1301,Ocean and coastal fishing
030270,Livers and roes,1301,Ocean and coastal fishing
030310,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus), excluding livers and roes",1301,Ocean and coastal fishing
030321,"Other salmonidae, excluding livers and roes :-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",1301,Ocean and coastal fishing
030322,"Other salmonidae, excluding livers and roes :-- Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)",1301,Ocean and coastal fishing
030329,"Other salmonidae, excluding livers and roes :-- Other",1301,Ocean and coastal fishing
030331,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,Scophthalmidae and Citharidae), excluding livers and roes :-- Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)",1301,Ocean and coastal fishing
030332,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,Scophthalmidae and Citharidae), excluding livers and roes :-- Plaice (Pleuronectes platessa)",1301,Ocean and coastal fishing
030333,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,Scophthalmidae and Citharidae), excluding livers and roes :-- Sole (Solea spp.)",1301,Ocean and coastal fishing
030339,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae,Scophthalmidae and Citharidae), excluding livers and roes :-- Other",1301,Ocean and coastal fishing
030341,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Albacore or longfinned tunas (Thunnus alalunga)",1301,Ocean and coastal fishing
030342,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Yellowfin tunas (Thunnus albacares)",1301,Ocean and coastal fishing
030343,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Skipjack or strip-bellied bonito",1301,Ocean and coastal fishing
030349,"Tunas (of the genus Thunnus), skipjack or stripe-bellied bonito (Euthynnus (Katsuwonus) pelamis), excluding livers and roes :-- Other",1301,Ocean and coastal fishing
030350,"Herrings (Clupea harengus, Clupea pallasii), excluding livers and roes",1301,Ocean and coastal fishing
030360,"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), excluding livers and roes",1301,Ocean and coastal fishing
030371,"Other fish, excluding livers and roes :-- Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)",1301,Ocean and coastal fishing
030372,"Other fish, excluding livers and roes :-- Haddock (Melanogrammus aeglefinus)",1301,Ocean and coastal fishing
030373,"Other fish, excluding livers and roes :-- Coalfish (Pollachius virens)",1301,Ocean and coastal fishing
030374,"Other fish, excluding livers and roes :-- Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",1301,Ocean and coastal fishing
030375,"Other fish, excluding livers and roes :- Other fish, excluding livers and roes :-- Dogfish and other sharks",1301,Ocean and coastal fishing
030376,"Other fish, excluding livers and roes :-- Eels (Anguilla spp.)",1301,Ocean and coastal fishing
030377,"Other fish, excluding livers and roes :-- Sea bass (Dicentrarchus labrax, Dicentrarchus punctatus)",1301,Ocean and coastal fishing
030378,"Other fish, excluding livers and roes :-- Hake (Merluccius spp., Urophycis spp.)",1301,Ocean and coastal fishing
030379,Other,1301,Ocean and coastal fishing
030380,Livers and roes,1301,Ocean and coastal fishing
030410,Fresh or chilled,1301,Ocean and coastal fishing
030420,Frozen fillets,1301,Ocean and coastal fishing
030490,Other,1301,Ocean and coastal fishing
030510,"Flours, meals and pellets of fish, fit for human consumption",1301,Ocean and coastal fishing
030520,"Livers and roes, dried, smoked, salted or in brine",1301,Ocean and coastal fishing
030530,"Fish fillets, dried, salted or in brine, but not smoked",1301,Ocean and coastal fishing
