HS 1996 Product Code,HS 1996 Product Description,ISIC Revision 3 Product Code,ISIC Revision 3 Product Description
010111,Horses :-- Pure-bred breeding animals,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010119,Horses :-- Other,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010120,"Asses, mules and hinnies",0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010210,Pure-bred breeding animals,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010290,Other,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010310,Pure-bred breeding animals,0122,Other animal farming; production of animal products n.e.c.
010391,Other :-- Weighing less than 50 kg,0122,Other animal farming; production of animal products n.e.c.
010392,Other :-- Weighing 50 kg or more,0122,Other animal farming; production of animal products n.e.c.
010410,Sheep,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010420,Goats,0121,"Farming of cattle, sheep, goats, horses, asses, mules and  hinnies; dairy farming"
010511,Weighing not more than 185 g :-- Fowls of the species Gallus domesticus,0122,Other animal farming; production of animal products n.e.c.
010512,Weighing not more than 185 g :-- Turkeys,0122,Other animal farming; production of animal products n.e.c.
010519,Weighing not more than 185 g :-- Other,0122,Other animal farming; production of animal products n.e.c.
010592,"Other :-- Fowls of the species Gallus domesticus, weighing not more than 2,000 g",0122,Other animal farming; production of animal products n.e.c.
010593,"Other :-- Fowls of the species Gallus domesticus, weighing more than 2,000 g",0122,Other animal farming; production of animal products n.e.c.
010599,Other,0122,Other animal farming; production of animal products n.e.c.
010600,Other live animals.,0122,Other animal farming; production of animal products n.e.c.
020110,Carcasses and half-carcasses,1511,"Production, processing and preserving of meat and meat products"
020120,Other cuts with bone in,1511,"Production, processing and preserving of meat and meat products"
020130,Boneless,1511,"Production, processing and preserving of meat and meat products"
020210,Carcasses and half-carcasses,1511,"Production, processing and preserving of meat and meat products"
020220,Other cuts with bone in,1511,"Production, processing and preserving of meat and meat products"
020230,Boneless,1511,"Production, processing and preserving of meat and meat products"
020311,Fresh or chilled :-- Carcasses and half-carcasses,1511,"Production, processing and preserving of meat and meat products"
020312,"Fresh or chilled :-- Hams, shoulders and cuts thereof, with bone in",1511,"Production, processing and preserving of meat and meat products"
020319,Fresh or chilled :-- Other,1511,"Production, processing and preserving of meat and meat products"
020321,Frozen :-- Carcasses and half-carcasses,1511,"Production, processing and preserving of meat and meat products"
020322,"Frozen :-- Hams, shoulders and cuts thereof, with bone in",1511,"Production, processing and preserving of meat and meat products"
020329,Frozen :-- Other,1511,"Production, processing and preserving of meat and meat products"
020410,"Carcasses and half-carcasses of lamb, fresh or chilled",1511,"Production, processing and preserving of meat and meat products"
020421,"Other meat of sheep, fresh or chilled :-- Carcasses and half-carcasses",1511,"Production, processing and preserving of meat and meat products"
020422,"Other meat of sheep, fresh or chilled :-- Other cuts with bone in",1511,"Production, processing and preserving of meat and meat products"
020423,"Other meat of sheep, fresh or chilled :-- Boneless",1511,"Production, processing and preserving of meat and meat products"
020430,"Other meat of sheep, fresh or chilled :- Carcasses and half-carcasses of lamb, frozen",1511,"Production, processing and preserving of meat and meat products"
020441,"Other meat of sheep, frozen :-- Carcasses and half-carcasses",1511,"Production, processing and preserving of meat and meat products"
020442,"Other meat of sheep, frozen :-- Other cuts with bone in",1511,"Production, processing and preserving of meat and meat products"
020443,"Other meat of sheep, frozen :-- Boneless",1511,"Production, processing and preserving of meat and meat products"
020450,Meat of goats,1511,"Production, processing and preserving of meat and meat products"
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",1511,"Production, processing and preserving of meat and meat products"
020610,"Of bovine animals, fresh or chilled",1511,"Production, processing and preserving of meat and meat products"
020621,"Of bovine animals, frozen :-- Tongues",1511,"Production, processing and preserving of meat and meat products"
020622,"Of bovine animals, frozen :-- Livers",1511,"Production, processing and preserving of meat and meat products"
020629,"Of bovine animals, frozen :-- Other",1511,"Production, processing and preserving of meat and meat products"
020630,"Of swine, fresh or chilled",1511,"Production, processing and preserving of meat and meat products"
020641,"Of swine, frozen :-- Livers",1511,"Production, processing and preserving of meat and meat products"
020649,"Of swine, frozen :-- Other",1511,"Production, processing and preserving of meat and meat products"
020680,"Other, fresh or chilled",1511,"Production, processing and preserving of meat and meat products"
020690,"Other, frozen",1511,"Production, processing and preserving of meat and meat products"
020711,"Of fowls of the species Gallus domesticus :-- Not cut in pieces, fresh or chilled",1511,"Production, processing and preserving of meat and meat products"
020712,"Of fowls of the species Gallus domesticus :-- Not cut in pieces, frozen",1511,"Production, processing and preserving of meat and meat products"
020713,"Of fowls of the species Gallus domesticus :-- Cuts and offal, fresh or chilled",1511,"Production, processing and preserving of meat and meat products"
020714,"Of fowls of the species Gallus domesticus :-- Cuts and offal, frozen",1511,"Production, processing and preserving of meat and meat products"
020724,"Of turkeys :-- Not cut in pieces, fresh or chilled",1511,"Production, processing and preserving of meat and meat products"
020725,"Of turkeys :-- Not cut in pieces, frozen",1511,"Production, processing and preserving of meat and meat products"
020726,"Of turkeys :-- Cuts and offal, fresh or chilled",1511,"Production, processing and preserving of meat and meat products"
020727,"Of turkeys :-- Cuts and offal, frozen",1511,"Production, processing and preserving of meat and meat products"
020732,"Of ducks, geese or guinea fowls :-- Not cut in pieces, fresh or chilled",1511,"Production, processing and preserving of meat and meat products"
020733,"Of ducks, geese or guinea fowls :-- Not cut in pieces, frozen",1511,"Production, processing and preserving of meat and meat products"
020734,"Of ducks, geese or guinea fowls :-- Fatty livers, fresh or chilled",1511,"Production, processing and preserving of meat and meat products"
020735,"Of ducks, geese or guinea fowls :-- Other, fresh or chilled",1511,"Production, processing and preserving of meat and meat products"
020736,"Of ducks, geese or guinea fowls :-- Other, frozen",1511,"Production, processing and preserving of meat and meat products"
020810,Of rabbits or hares,1511,"Production, processing and preserving of meat and meat products"
020820,Frogs'legs,0122,Other animal farming; production of animal products n.e.c.
020890,Other,1511,"Production, processing and preserving of meat and meat products"
020900,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked.",1511,"Production, processing and preserving of meat and meat products"
021011,"Meat of swine :-- Hams, shoulders and cuts thereof, with bone in",1511,"Production, processing and preserving of meat and meat products"
021012,Meat of swine :-- Bellies (streaky) and cuts thereof,1511,"Production, processing and preserving of meat and meat products"
021019,Meat of swine :-- Other,1511,"Production, processing and preserving of meat and meat products"
021020,Meat of bovine animals,1511,"Production, processing and preserving of meat and meat products"
021090,"Other, including edible flours and meals of meat or meat offal",1511,"Production, processing and preserving of meat and meat products"
030110,Ornamental fish,0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030191,"Other live fish :-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
030192,Other live fish :-- Eels (Anguilla spp.),0500,"Fishing, operation of fish hatcheries and fish farms; service activities incidental to fishing"
