HS 1996 Product Code,HS 1996 Product Description,SITC Revision 2 Product Code,SITC Revision 2 Product Description
010111,Horses :-- Pure-bred breeding animals,0015,"Horses, asses, mules and hinnies, live"
010119,Horses :-- Other,0015,"Horses, asses, mules and hinnies, live"
010120,"Asses, mules and hinnies",0015,"Horses, asses, mules and hinnies, live"
010210,Pure-bred breeding animals,00111,"Bovine species pure bred,for breeding"
010290,Other,00119,Bovine species other than pure bred breeding stock
010310,Pure-bred breeding animals,0013,"Swine, live"
010391,Other :-- Weighing less than 50 kg,0013,"Swine, live"
010392,Other :-- Weighing 50 kg or more,0013,"Swine, live"
010410,Sheep,00121,"Sheep, live"
010420,Goats,00122,"Goats, live"
010511,Weighing not more than 185 g :-- Fowls of the species Gallus domesticus,00141,"Poultry,live of a weight not exceeding 185 grammes"
010512,Weighing not more than 185 g :-- Turkeys,00141,"Poultry,live of a weight not exceeding 185 grammes"
010519,Weighing not more than 185 g :-- Other,00141,"Poultry,live of a weight not exceeding 185 grammes"
010592,"Other :-- Fowls of the species Gallus domesticus, weighing not more than 2,000 g",00149,"Poultry,live of a weight exceeding 185 grammes"
010593,"Other :-- Fowls of the species Gallus domesticus, weighing more than 2,000 g",00149,"Poultry,live of a weight exceeding 185 grammes"
010599,Other,00149,"Poultry,live of a weight exceeding 185 grammes"
010600,Other live animals.,9410,"Animals,live,n.e.s.,incl. zoo-animals"
020110,Carcasses and half-carcasses,01111,Meat of bovine animals with bone in
020120,Other cuts with bone in,01111,Meat of bovine animals with bone in
020130,Boneless,01112,Meat of bovine animals boneless
020210,Carcasses and half-carcasses,01111,Meat of bovine animals with bone in
020220,Other cuts with bone in,01111,Meat of bovine animals with bone in
020230,Boneless,01112,Meat of bovine animals boneless
020311,Fresh or chilled :-- Carcasses and half-carcasses,0113,"Meat of swine, fresh, chilled or frozen"
020312,"Fresh or chilled :-- Hams, shoulders and cuts thereof, with bone in",0113,"Meat of swine, fresh, chilled or frozen"
020319,Fresh or chilled :-- Other,0113,"Meat of swine, fresh, chilled or frozen"
020321,Frozen :-- Carcasses and half-carcasses,0113,"Meat of swine, fresh, chilled or frozen"
020322,"Frozen :-- Hams, shoulders and cuts thereof, with bone in",0113,"Meat of swine, fresh, chilled or frozen"
020329,Frozen :-- Other,0113,"Meat of swine, fresh, chilled or frozen"
020410,"Carcasses and half-carcasses of lamb, fresh or chilled",0112,"Meat of sheep and goats, fresh, chilled or frozen"
020421,"Other meat of sheep, fresh or chilled :-- Carcasses and half-carcasses",0112,"Meat of sheep and goats, fresh, chilled or frozen"
020422,"Other meat of sheep, fresh or chilled :-- Other cuts with bone in",0112,"Meat of sheep and goats, fresh, chilled or frozen"
020423,"Other meat of sheep, fresh or chilled :-- Boneless",0112,"Meat of sheep and goats, fresh, chilled or frozen"
020430,"Other meat of sheep, fresh or chilled :- Carcasses and half-carcasses of lamb, frozen",0112,"Meat of sheep and goats, fresh, chilled or frozen"
020441,"Other meat of sheep, frozen :-- Carcasses and half-carcasses",0112,"Meat of sheep and goats, fresh, chilled or frozen"
020442,"Other meat of sheep, frozen :-- Other cuts with bone in",0112,"Meat of sheep and goats, fresh, chilled or frozen"
020443,"Other meat of sheep, frozen :-- Boneless",0112,"Meat of sheep and goats, fresh, chilled or frozen"
020450,Meat of goats,0112,"Meat of sheep and goats, fresh, chilled or frozen"
020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.",0115,"Meat of horses,asses,etc.,fresh,chilled,frozen"
020610,"Of bovine animals, fresh or chilled",0116,Edible offals of animals in headings 001.1-001.5
020621,"Of bovine animals, frozen :-- Tongues",0116,Edible offals of animals in headings 001.1-001.5
020622,"Of bovine animals, frozen :-- Livers",0116,Edible offals of animals in headings 001.1-001.5
020629,"Of bovine animals, frozen :-- Other",0116,Edible offals of animals in headings 001.1-001.5
020630,"Of swine, fresh or chilled",0116,Edible offals of animals in headings 001.1-001.5
020641,"Of swine, frozen :-- Livers",0116,Edible offals of animals in headings 001.1-001.5
020649,"Of swine, frozen :-- Other",0116,Edible offals of animals in headings 001.1-001.5
020680,"Other, fresh or chilled",0116,Edible offals of animals in headings 001.1-001.5
020690,"Other, frozen",0116,Edible offals of animals in headings 001.1-001.5
020711,"Of fowls of the species Gallus domesticus :-- Not cut in pieces, fresh or chilled",0114,"Poultry,dead & edible offals ex.liver,fresh/frozen"
020712,"Of fowls of the species Gallus domesticus :-- Not cut in pieces, frozen",0114,"Poultry,dead & edible offals ex.liver,fresh/frozen"
020713,"Of fowls of the species Gallus domesticus :-- Cuts and offal, fresh or chilled",0114,"Poultry,dead & edible offals ex.liver,fresh/frozen"
020714,"Of fowls of the species Gallus domesticus :-- Cuts and offal, frozen",0114,"Poultry,dead & edible offals ex.liver,fresh/frozen"
020724,"Of turkeys :-- Not cut in pieces, fresh or chilled",0114,"Poultry,dead & edible offals ex.liver,fresh/frozen"
020725,"Of turkeys :-- Not cut in pieces, frozen",0114,"Poultry,dead & edible offals ex.liver,fresh/frozen"
020726,"Of turkeys :-- Cuts and offal, fresh or chilled",0114,"Poultry,dead & edible offals ex.liver,fresh/frozen"
020727,"Of turkeys :-- Cuts and offal, frozen",0114,"Poultry,dead & edible offals ex.liver,fresh/frozen"
020732,"Of ducks, geese or guinea fowls :-- Not cut in pieces, fresh or chilled",0114,"Poultry,dead & edible offals ex.liver,fresh/frozen"
020733,"Of ducks, geese or guinea fowls :-- Not cut in pieces, frozen",0114,"Poultry,dead & edible offals ex.liver,fresh/frozen"
020734,"Of ducks, geese or guinea fowls :-- Fatty livers, fresh or chilled",01181,"Poultry liver,fresh,chilled,frozen,salted/in brine"
020735,"Of ducks, geese or guinea fowls :-- Other, fresh or chilled",0114,"Poultry,dead & edible offals ex.liver,fresh/frozen"
020736,"Of ducks, geese or guinea fowls :-- Other, frozen",0114,"Poultry,dead & edible offals ex.liver,fresh/frozen"
020810,Of rabbits or hares,01189,"Meat & edible offals,fresh,chilled or frozen"
020820,Frogs'legs,01189,"Meat & edible offals,fresh,chilled or frozen"
020890,Other,01189,"Meat & edible offals,fresh,chilled or frozen"
020900,"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked.",41131,"Pig fat free of lean meat and poultry fat,"
021011,"Meat of swine :-- Hams, shoulders and cuts thereof, with bone in",0121,"Bacon,ham & other dried,salted,smoked meat/ swine"
021012,Meat of swine :-- Bellies (streaky) and cuts thereof,0121,"Bacon,ham & other dried,salted,smoked meat/ swine"
021019,Meat of swine :-- Other,0121,"Bacon,ham & other dried,salted,smoked meat/ swine"
021020,Meat of bovine animals,0129,"Meat & edib.offals,n.e.s.salt.in brine dried/smok."
021090,"Other, including edible flours and meals of meat or meat offal",0149,Other prepared or preserved meat or meat offals
030110,Ornamental fish,0341,"Fish,fresh(live/dead)or chilled,excl.fillets"
030191,"Other live fish :-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",0341,"Fish,fresh(live/dead)or chilled,excl.fillets"
030192,Other live fish :-- Eels (Anguilla spp.),0341,"Fish,fresh(live/dead)or chilled,excl.fillets"
030193,Other live fish :-- Carp,0341,"Fish,fresh(live/dead)or chilled,excl.fillets"
030199,Other live fish :-- Other,0341,"Fish,fresh(live/dead)or chilled,excl.fillets"
030211,"Salmonidae, excluding livers and roes :-- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)",0341,"Fish,fresh(live/dead)or chilled,excl.fillets"
030212,"Salmonidae, excluding livers and roes :-- Pacific salmon (Oncorhynchus nerka, Oncorhynchusgorbascha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhnchus rhodurus), Altantic salmon (Sa",0341,"Fish,fresh(live/dead)or chilled,excl.fillets"
030219,"Salmonidae, excluding livers and roes :-- Other",0341,"Fish,fresh(live/dead)or chilled,excl.fillets"
