HS 2007 Product Code,HS 2007 Product Description,SITC Revision 3 Product Code,SITC Revision 3 Product Description
846021,"Grinding machines other than flat-surface, in which the positioning in any one axis can be set up to an accuracy of at least 0.01mm, numerically controlled",73163,Grinder nes acc num-ctrl
846029,"Grinding machines other than flat-surface, in which the positioning in any one axis can be set up to an accuracy of at least 0.01mm, other than numerically controlled",73164,Grinder nes accurate nes
846031,"Sharpening (tool/cutter grinding) machines, numerically controlled",73165,Sharpeners num-control
846039,"Sharpening (tool/cutter grinding) machines, other than numerically controlled",73166,Sharpening machine nes
846040,Honing/lapping machines,73167,Honing/lapping machines
846090,"Machine-tools for deburring/sharpening/grinding/honing/lapping/polishing/othwise finishing metal/cermets by means of grinding stones, abrasives/polishing products, other than gear cutting, gear grinding/gear finishing  machines...n.e.s. in 84.60 ",73169,Debur/polish tools nes
846120,Shaping/slotting machines working by removing metal/cermets,73171,Shaping/slotting machine
846130,Broaching machines working by removing metal/cermets,73173,Broaching machines
846140,Gear cutting/gear grinding/gear finishing machines working by removing metal/cermets,73175,Gear-cutting machines
846150,Sawing/cutting-off machines working by removing metal/cermets,73177,"Sawing machs,metalworkng"
846190,"Machine-tools for planing & other machine-tools working by removing metal/cermets, n.e.s. in 84.61",73179,Mtl-removal m-tools nes
846210,Forging/die-stamping machines (incl. presses) & hammers for working metal,73311,Forging/stamping machine
846221,"Bending, folding, straightening/flattening machines (incl. presses) , numerically controlled.",73312,Bending etc mchs num-ctl
846229,"Bending, folding, straightening/flattening machines (incl. presses) ,other than numerically controlled.",73313,Bending etc machines nes
846231,"Shearing machines for working metal, incl. presses, other than combined punching & shearing machines, numerically controlled",73314,Shearing etc mch num-ctl
846239,"Shearing machines for working metal, incl. presses, other than combined punching & shearing machines, other than numerically controlled",73315,Shearing etc mchines nes
846241,"Punching/notching machines for working metal (incl. presses), incl. combined punching & shearing machines, numerically controlled",73316,Punching etc mch num-ctl
846249,"Punching/notching machines for working metal (incl. presses), incl. combined punching & shearing machines, other than numerically controlled",73317,Punching etc mchines nes
846291,Hydraulic presses for working metal,73318,Metal work presses nes
846299,"Machine-tools for working metal, n.e.s. in 84.62; presses for working metal/metal carbides, n.e.s. in 84.62",73318,Metal work presses nes
846310,Draw-benches for bars/tubes/profiles/wire/the like,73391,Draw benches mtl bar etc
846320,"Thread rolling machines for working metal/cermets, without removing material",73393,Metal thread rolling mac
846330,Machines for working wire,73395,Wire working machines
846390,"Machine-tools for working metal/cermets, without removing material, n.e.s.",73399,Metal non-rmvl tools nes
846410,Sawing machines,72811,Machine tools - minerals
846420,Grinding/polishing machines.,72811,Machine tools - minerals
846490,"Other Machine-tools for working stone, ceramics, concrete, asbestos-cement/like mineral materials/for cold working glass excl. sawing machines/grinding/polishing machines.",72811,Machine tools - minerals
846510,Machines which can carry out differenttypes of machining operations without tool change between such operations for working wood/cork/bone/hard rubber/hard plastics/similarhard materials,72812,Machine tools - wood/etc
846591,Sawing machines for working wood/cork/bone/hard rubber/hard plastics/similar hard materials,72812,Machine tools - wood/etc
846592,Planing/milling/moulding (by cutting) machines for working wood/cork/bone/hard rubber/hard plastics/similar hard materials,72812,Machine tools - wood/etc
846593,Grinding/sanding/polishing machines for working wood/cork/bone/hard rubber/hard plastics/similar hard materials,72812,Machine tools - wood/etc
846594,Bending/assembling machines for working wood/cork/bone/hard rubber/hard plastics/similar hard materials,72812,Machine tools - wood/etc
846595,Drilling/morticing machines for working wood/cork/bone/hard rubber/hard plastics/similar hard materials,72812,Machine tools - wood/etc
846596,Splitting/slicing/paring machines for working wood/cork/bone/hard rubber/hard plastics/similar hard materials,72812,Machine tools - wood/etc
846599,"Machine-tools (incl. machines for nailing, stapling, glueing/othw. assembling) for working wood, cork, bone, hard rubber, hard plastics/similar hard materials; other n.e.s. in 84.65",72812,Machine tools - wood/etc
846610,Tool holders & self-opening dieheads,73511,Tool holder/slf-open die
846620,Work holders,73513,Metal mch-tl work holder
846630,Dividing heads & other special attachments for machine-tools,73515,Dividing head/spec atach
846691,Parts & accessories for machines of heading 84.64,72819,Pts nes of tools of 7281
846692,Parts & accessories for machines of heading 84.65,72819,Pts nes of tools of 7281
846693,Parts & accessories for machines of heading 84.56 to 84.61,73591,Pts nes metal rmvl tools
846694,Parts & accessories for machines of heading 84.62 to 84.63,73595,Pts nes mtl nonrmvl tool
846711,"Tools for working in the hand, pneumatic, rotary type (incl. combined rotary-percussion)",74511,Pneumatic hand tools
846719,"Tools for working in the hand, pneumatic, other than rotary type",74511,Pneumatic hand tools
846721,"Drills of all kinds, for working in the hand, with self-contained electric motor",77841,Electric drills
846722,"Saws for working in the hand, with self-contained electric motor",77843,Saws (electro-mech hand)
846729,"Tools for working in the hand, with self-contained electric motor (excl. drills & saws)",77845,Hand elec-mech tools nes
846781,Chain saws for working in the hand,74512,Non-el motor hand tools
846789,"Tools for working in the hand, hydraulic/with self-contained non-electric motor, n.e.s. in 84.67",74512,Non-el motor hand tools
846791,Parts of chain saws,74519,Pts nes of tool of 7451
846792,Parts of pneumatic tools,74519,Pts nes of tool of 7451
846799,"Parts of tools for working in the hand (excl. of chain saws, of pneumatic tools)",74519,Pts nes of tool of 7451
846810,Hand-held blow pipes,73741,Hand-held gas welders
846820,"Gas-operated machinery & apparatus for soldering/brazing/welding, other than hand-held blow pipes, whether/not capable of cutting (excl. of 85.15)",73742,Gas oper weld/etc eq nes
846880,"Machinery & apparatus for soldering/brazing/welding, whether/not capable of cutting (excl. of 8468.10, 8468.20 & 85.15); gas-operated surface tempering machines & appliances",73743,Welding machines not gas
846890,Parts of the machinery & apparatus of 84.68,73749,Parts gas welders etc.
846900,Typewriters other than printers of heading 84.43; word-processing machines.,75115,Elec typewriters <12kg
847010,"Electronic calculators capable of operation without an external source of electric power & pocket-size data recording, repr. & displaying machines with calculating functions",75121,Electronic calculators
847021,"Digital auto. data processing machines other than those of 8470.10, incorporating a printing device",75122,Calculating machines nes
847029,"Digital auto. data processing machines other than those of 8470.10, not incorporating a printing device",75122,Calculating machines nes
847030,Calculating machines (excl. of 8470.10-8470.29),75122,Calculating machines nes
847050,Cash registers,75124,Cash registers
847090,"Other electronic calculating machines, n.e.s. in 84.70",75128,Postage-franking etc mch
847130,"-  Portable automatic data processing machines, weighing not more than 10 kg, consisting of a least a central processing unit, a keyboard & a display",7522,Digital computers
847141,"Other automatic data processing machines :  Comprising in the same housing at least a central processing unit & an input & output unit, whether/not combined",7522,Digital computers
847149,"Other automatic data processing machines , presented in the form of systems.",7523,Digital processing units
847150,"Processing units other than those of sub-heading 8471.41/8471.49, whether/not containing in the same housing one/two of the following types of unit : storage units, input units, output units",7523,Digital processing units
847160,"Input/output units, whether/not containing storage units in the same housing",7526,Adp peripheral units
847170,Storage units,7527,Adp storage units
847180,"Other units of automatic data processing machines, exclud. 8471.50, 8471.60, 8471.70.",7529,Adp equipment nes
847190,"Magnetic/optical readers, machines for transcribing data onto data media in coded form & machines for processing such data, n.e.s.",7529,Adp equipment nes
847210,Duplicating machines,75191,Duplicating machines
847230,"Machines for sorting/folding mail/for inserting mail in envelopes/bands, machines for opening/closing/sealing mail & machines for affixing/cancelling postage stamps",75193,Envelope handling machns
847290,"Other office machines (eg. hectograph/stencil duplicating machines, addressing machines, automatic banknote dispensers, coin-sorting machines, coin-counting/wrapping machines, pencil-sharpening machines, perforating/stapling machines), exclud. 8472.10 &",75199,Othr office machines nes
847310,"Parts & accessories (excl. covers, carrying cases & the like) suit. for use solely/principally with the machines of 84.69",75991,"Typewrtr parts,acces nes"
847321,"Parts & accessories (excl. covers, carrying cases & the like) suit. for use solely/principally with the electronic calculating machines of 8470.10/8470.21/8470.29",75995,Calculator parts/access.
847329,"Parts & accessories (excl. covers, carrying cases & the like) suit. for use solely/principally with the machines of 84.70 other than for those headings incl. in 8473.21",75995,Calculator parts/access.
847330,Parts & accessories of the machines of heading 84.71,75997,Adp equip parts/access.
847340,Parts & accessories of the machines of heading 84.72,75993,Dupl/addr mach parts etc
847350,Parts & accessories equally suitable for use with machines of two/more of the headings 84.69 to 84.72,75993,Dupl/addr mach parts etc
847410,"Sorting/screening/separating/washing machines for earth/stone/ores/other mineral substance, in solid (incl. powder/paste) form",72831,Mineral sorting etc mach
847420,"Crushing/grinding machines for earth/stone/ores/other mineral substance, in solid (incl. powder/paste) form",72832,Minrl crushing etc machn
847431,Concrete/mortar mixers,72833,"Mnrl mixing,kneading mch"
847432,Machines for mixing mineral substance with bitumen,72833,"Mnrl mixing,kneading mch"
847439,"Mixing/kneading machines for earth/stone/ores/other mineral substance, in solid (incl. powder/paste) form (excl. of 8474.31 & 8474.32)",72833,"Mnrl mixing,kneading mch"
847480,"Machinery for agglomerating/shaping/moulding solid mineral fuels/ceramic paste/unhardened cements/plastering materials/other mineral products in powder/paste form, machines for forming foundry moulds/sand",72834,Minrl moulding etc machn
847490,Parts of the machinery of 84.74,72839,Pts nes of machy of 7283
847510,"Machines for assembling electric/electronic lamps/tubes/valves/flashbulbs, in glass envelopes",72841,Glass/lamp wkng mach nes
847521,Machines for making optical fibres & preforms thereof,72841,Glass/lamp wkng mach nes
847529,Machines for manufacturing/hot working glass/glassware (excl. of 8475.10 & 8475.21),72841,Glass/lamp wkng mach nes
847590,Parts of the machines of 84.75,72851,Glass-working machy part
847621,Automatic beverage-vending machines incorporating heating/refrigerating devices,74595,Automatic vending machs
847629,Automatic beverage-vending machines other than those incorporating heating/refrigeration devices,74595,Automatic vending machs
847681,"Automatic goods-vending machines other than beverage-vending machines, incorporating heating/refrigerating devices",74595,Automatic vending machs
847689,"Automatic goods-vending machines other than beverage-vending machines, other than those incorporating heating/refrigerating devices",74595,Automatic vending machs
847690,Parts of the machines of 84.76,74597,Automatic vending machs
847710,Injection-moulding machines,72842,Rubber/plastics wrkg mch
847720,Extruders,72842,Rubber/plastics wrkg mch
847730,Blow moulding machines,72842,Rubber/plastics wrkg mch
847740,Vacuum moulding machines & other thermoforming machines,72842,Rubber/plastics wrkg mch
847751,Machinery for moulding/retreading pneumatic tyres/for moulding/othw. forming inner tubes,72842,Rubber/plastics wrkg mch
847759,"Other machinery for moulding/othw. forming, other than Machinery for moulding/retreading pneumatic tyres/for moulding/othw. forming inner tubes",72842,Rubber/plastics wrkg mch
847780," Machinery for working rubber/plastics/for the manufacture of products from these materials, not specified/incld. elsewhere in this Ch., Other machinery, n.e.s. in 84.77",72842,Rubber/plastics wrkg mch
847790,"Parts of Machinery for working rubber/plastics/for the manufacture of products from these materials, not specified/incld. elsewhere in this Ch..",72852,Plastic/rubber mach part
847810,"Machinery for preparing/making up tobacco, n.e.s. in Ch.84",72843,Tobacco industry mch nes
847890,Parts of the machinery of 8478.10,72853,Tobacco machinery parts
847910,"Machinery for public works/building/the like having individual functions, n.e.s. in Ch.84",72348,Public works machnry nes
847920,"Machinery for the extraction/preparation of animal/fixed vegetable fats/oils having individual functions, n.e.s. in Ch.84",72721,Oil/fat extract machines
847930,Presses for the manufacture of particle board/fibre building board of wood/other ligneous materials & other machinery for treating wood/cork,72844,Wood/cork presses etc.
847940,Rope/cable-making machines,72849,"Machnry nes,indiv functn"
847950,"Industrial robots, not elsewhere specified/incld.",72849,"Machnry nes,indiv functn"
847960,Evaporative air coolers,72849,"Machnry nes,indiv functn"
847981,"Machines & mechanical appliances for treating metal, incl. electric wire coil-winders, n.e.s. in Ch.84",72846,Mtal treating machny nes
847982,"Mixing/kneading/crushing/grinding/screening/sifting/homogenising/emulsifying/stirring machines, n.e.s. in Ch.84",72849,"Machnry nes,indiv functn"
847989,"Other machines & mechanical appliances, other than Machines & mechanical appliances for treating metal, incl. electric wire coil-winders/Mixing/kneading/crushing/grinding/screening/sifting/homogenising/emulsifying/stirring machines",72849,"Machnry nes,indiv functn"
847990,"Parts of Machines & mechanical appliances having individual functions, not specified/incld. elsewhere in this Ch..",72855,"Parts nes, machines 7284"
848010,Moulding boxes for metal foundry,74911,Foundry moulds etc nes
848020,Mould bases,74912,Mould bases
848030,Moulding patterns,74913,Moulding patterns
848041,"Moulds (excl. ingot moulds) for metal/metal carbides, injection/compression types",74914,Inject/comp moulds metal
848049,"Moulds (excl. ingot moulds) for metal/metal carbides, other than injection/compression types",74915,Moulds nes metal/carbide
848050,Moulds for glass,74916,Moulds for glass
848060,Moulds for mineral materials,74917,Moulds for minerals
848071,"Moulds for rubber/plastics , Injection/compression types",74918,Inject/comp mould rubber
848079,"Moulds for rubber/plastics, other than injection/compression types",74919,Mould nes rubber/plastic
848110,Pressure-reducing valves for pipes/boiler shells/tanks/vats/the like,7471,Pressure reducing valves
848120,Valves for oleohydraulic/pneumatic transmissions for pipes/boiler shells/tanks/vats/the like,7472,Pneumat/hydraulic valves
848130,Check (nonreturn) valves for pipes/boiler shells/tanks/vats/the like,7473,Check valves
848140,Safety/relief valves for pipes/boiler shells/tanks/vats/the like,7474,Safety/relief valves
848180,"Taps, cocks, valves & similar appliances for pipes/boiler shells/tanks/vats/the like, incl. thermostatically controlled valves, n.e.s. in 84.81",7478,Taps/cocks/valves nes
848190,Parts of the appliances of 84.81,7479,Tap/cock/valve parts
848210,Ball bearings,7461,Ball bearings
848220,"Tapered roller bearings, incl. cone & tapered roller assemblies",7462,Tapered roller bearings
848230,Spherical roller bearings,7463,Spherical roller bearing
848240,Needle roller bearings,7464,Needle roller bearings
848250,Cylindrical roller bearings (excl. of 8482.20-8482.40),7465,Cyl roller bearings nes
848280,"Bearings, incl. combined ball/roller bearings (excl. of 8482.10-8482.50)",7468,Ball/roller bearings nes
848291,"Balls, needles & rollers for the bearings of 8482.10-8482.80",74691,Bearing ball/needle/roll
848299,"Parts, other than balls, needles & rollers, for the bearings of 8482.10-8482.80",74699,Ball etc bearng part nes
848310,Transmission shafts (incl. cam shafts & crank shafts) & cranks,7481,Transmission shafts
848320,"Bearing housings, incorporating ball/roller bearings",74821,Ball/roll bearing housng
848330,"Bearing housings, not incorporating ball/roller bearings; plain shaft bearings",74822,Bearing housings nes
848340,"Gears&gearing(excl. toothed wheels, chain sprockets&other transmission elements presented sep.); ball/roller screws; gear boxes&other speed changers, incl. torque converters",7484,Gears and gearing
848350,"Flywheels & pulleys, incl. pulley blocks",7485,Flywheels/pulleys/etc
848360,Clutches & shaft couplings (incl. universal joints),7486,Clutches/sh coupling/etc
848390,"Toothed wheels, chain sprockets & other transmission elements presented sep.; parts",7489,Gear/flywheel/cltch part
848410,Gaskets & similar joints of metal sheeting combined with other material/of 2/more layers of metal,7492,Metal clad gaskets
848420,Mechanical seals,74999,Mach parts nonelec nes
848490,"Sets/assortments of gaskets & similar joints, dissimilar in composition, put up in pouches/envelopes/similar packings",7492,Metal clad gaskets
848610,Machines & apparatus for the manufacture of boules/wafers,72849,"Machnry nes,indiv functn"
848620,Machines & apparatus for the manufacture of semiconductor devices/of electronic integrated circuits,77878,Special use el equip nes
848630,Machines & apparatus for the manufacture of flat panel displays,73111,Laser/photon mach tools
848640,Machines & apparatus specified in Note 9 (C) to this Ch.,74918,Inject/comp mould rubber
848690,"Parts & accessories of machines & apparatus of a kind used solely/principally for the manufacture of semiconductor boules/wafers, semiconductor devices, electronic integrated circuits/flat panel displays; machines & apparatus specified in Note 9 (C) to t",72855,"Parts nes, machines 7284"
848710,Ships'/boats' propellers & blades therefor,74991,Ships propellers/blades
848790,"Machinery parts, not containing electrical connectors, insulators, coils, contacts/other electrical features, not specified/incld. elsewhere in this Ch., other than Ships'/boats' propellers & blades therefor",74999,Mach parts nonelec nes
850110,Electric motors of an output not >37.5W,7161,Electric motors <37.5w
850120,Universal AC/DC motors of an output >37.5 W,71631,"Ac,ac/dc motors >37.5w"
850131,"DC motors (excl. universal AC/DC motors); DC generators (excl. generating sets), of an output not >750W",7162,Dc motor(>37w)/generator
850132,"DC motors (excl. universal AC/DC motors); DC generators (excl. generating sets), of an output >750W but not >75 kW",7162,Dc motor(>37w)/generator
850133,"DC motors (excl. universal AC/DC motors); DC generators (excl. generating sets), of an output >75kW but not >375kW",7162,Dc motor(>37w)/generator
850134,"DC motors (excl. universal AC/DC motors); DC generators (excl. generating sets), of an output >375kW",7162,Dc motor(>37w)/generator
850140,"AC motors (excl. of 8501.10 & 8501.20), single-phase",71631,"Ac,ac/dc motors >37.5w"
850151,"AC motors (excl. of 8501.10 & 8501.20), multi-phase, of an output not >750W",71631,"Ac,ac/dc motors >37.5w"
850152,"AC motors (excl. of 8501.10 & 8501.20), multi-phase, of an output >750W but not >75kW",71631,"Ac,ac/dc motors >37.5w"
850153,"AC motors (excl. of 8501.10 & 8501.20), multi-phase, of an output >75kW",71631,"Ac,ac/dc motors >37.5w"
850161,"AC generators (alternators), of an output not >75kVA",71632,Ac generators
850162,"AC generators (alternators), of an output >75kVA but not >375kVA",71632,Ac generators
850163,"AC generators (alternators), of an output >375kVA but not >750kVA",71632,Ac generators
850164,"AC generators (alternators), of an output >750kVA",71632,Ac generators
850211,"Electric generating sets with C-I internal combustion piston engines (diesel/semi-diesel engines), of an output not >75kVA",71651,Gen sets with pistn engs
850212,"Electric generating sets with C-I internal combustion piston engines (diesel/semi-diesel engines), of an output >75kVA but not >375kVA",71651,Gen sets with pistn engs
850213,"Electric generating sets with C-I internal combustion piston engines (diesel/semi-diesel engines), of an output >375kVA",71651,Gen sets with pistn engs
850220,Electric generating sets with spark-ignition internal combustion piston engines,71651,Gen sets with pistn engs
850231,Wind-powered electric generating sets,71652,Generating sets nes
850239,Electric generating sets n.e.s. in 85.02,71652,Generating sets nes
850240,Electric rotary converters,7164,Electric rotary convertr
850300,Parts suit. for use solely/principally with the machines of 85.01/85.02,7169,Pts nes motors/generator
850410,Ballasts for discharge lamps/tubes,77123,Discharge tube ballasts
850421,Liquid dielectric transformers having a power handling capacity not >650kVA,77111,Liquid dielec transfrmrs
850422,Liquid dielectric transformers having a power handling capacity >650kVA but not >10000kVA,77111,Liquid dielec transfrmrs
850423,Liquid dielectric transformers having a power handling capacity >10000kVA,77111,Liquid dielec transfrmrs
850431,Electrical transformers (excl. dielectric) having a power handling capacity not >1kVA,77119,Other elec transformers
850432,Electrical transformers (excl. dielectric) having a power handling capacity >1kVA but not >16kVA,77119,Other elec transformers
850433,Electrical transformers (excl. dielectric) having a power handling capacity >16 kVA but not >500kVA,77119,Other elec transformers
850434,Electrical transformers (excl. dielectric) having a power handling capacity >500kVA,77119,Other elec transformers
850440,Static converters,77121,Static converters
850450,"Inductors, n.e.s. (excl. for cathode ray tubes)",77125,Inductors nes
850490,Parts of the machines of 85.04,77129,Pts nes elec power mach.
850511,"Permanent magnets & articles intended to become permanent magnets after magnetisation, of metal",77881,Electro-magnets/devices
850519,"Permanent magnets & articles intended to become permanent magnets after magnetisation, other than of metal",77881,Electro-magnets/devices
850520,"Electro-magnetic couplings, clutches & brakes",77881,Electro-magnets/devices
850590,"Other, incl. parts of electro-magnets; electro-magnetic/permanent magnet chucks, clamps & similar holding devices; electro-magnetic lifting heads",77881,Electro-magnets/devices
850610,"Primary cells & primary batteries, manganese dioxide",77811,Primary batteries/cells
850630,"Primary cells & primary batteries, mercuric oxide",77811,Primary batteries/cells
850640,"Primary cells & primary batteries, silver oxide",77811,Primary batteries/cells
850650,"Primary cells & primary batteries, lithium",77811,Primary batteries/cells
850660,"Primary cells & primary batteries, air-zinc",77811,Primary batteries/cells
850680,Primary cells & primary batteries n.e.s. in 85.06,77811,Primary batteries/cells
850690,Parts of the primary cells & primary batteries of 85.06,77817,Primary batt/cell parts
850710,"Electric accumulators, incl. separators therefor, whether/not rectangular (incl. square), lead-acid, of a kind used for starting piston engines",77812,Electric accumulators
850720,"Electric accumulators, incl. separators therefor, whether/not rectangular (incl. square), lead-acid (excl. of 8507.10)",77812,Electric accumulators
850730,"Electric accumulators, incl. separators therefor, whether/not rectangular (incl. square), nickel-cadmium",77812,Electric accumulators
850740,"Electric accumulators, incl. separators therefor, whether/not rectangular (incl. square), nickel-iron",77812,Electric accumulators
850780,"Electric accumulators, incl. separators therefor, whether/not rectangular (incl. square), n.e.s. in 85.07",77812,Electric accumulators
850790,Parts of the electric accumulators & separators therefor of 85.07,77819,Elec accumulator parts
850811,"Vacuum cleaners, with self-contained electric motor,  Of a power not > 1,500 W & having a dust bag/other receptacle capacity not > 20 l",77571,Vac cleaner/floor polish
850819,"Vacuum cleaners, with self-contained electric motor, other than of 8508.11",77571,Vac cleaner/floor polish
850860,"Other vacuum cleaners,not with self-contained electric motor",72849,"Machnry nes,indiv functn"
850870,Parts of vacuum cleaners,77579,Parts dom elect equipmnt
850940,"Food grinders & mixers; fruit/vegetable juice extractors, domestic, with self-contained electric motor",77572,Food grinder/mixer/etc
850980,"Food grinders & mixers; fruit/vegetable juice extractors, domestic, with self-contained electric motor",77573,Oth domstc elec appl nes
850990,"Parts of electro-mechanical domestic appliances, with self-contained electric motor, other than vacuum cleaners of heading 85.08.",77579,Parts dom elect equipmnt
